@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
43,'2026/05/14 12:03:20:551',1,0.717587,0.926326,0,0.598314,0.433706,-0.084451,0.907931,0.557369,-0.096578,1,0,0
44,'2026/05/14 12:03:20:585',1,0.721058,0.926261,0,0.598328,0.434039,-0.083523,0.910078,0.559676,-0.099079,1,0,0
45,'2026/05/14 12:03:20:614',1,0.720982,0.926879,0,0.597563,0.436982,-0.079466,0.911511,0.560058,-0.098172,1,0,0
46,'2026/05/14 12:03:20:651',1,0.722023,0.925048,0,0.597459,0.434286,-0.077707,0.912795,0.55937,-0.097401,1,0,0
47,'2026/05/14 12:03:20:678',1,0.723058,0.923533,0,0.597289,0.435586,-0.078727,0.913809,0.557377,-0.095082,1,0,0
48,'2026/05/14 12:03:20:709',1,0.722718,0.92492,0,0.601641,0.432159,-0.080822,0.913225,0.559157,-0.097053,1,0,0
49,'2026/05/14 12:03:20:740',1,0.723092,0.923744,0,0.602912,0.433591,-0.080828,0.913657,0.560242,-0.097928,1,0,0
50,'2026/05/14 12:03:20:774',1,0.723218,0.92498,0,0.603158,0.43154,-0.08119,0.914462,0.560543,-0.096571,1,0,0
51,'2026/05/14 12:03:20:805',1,0.722555,0.925852,0,0.602761,0.432205,-0.08391,0.915203,0.558916,-0.09802,1,0,0
52,'2026/05/14 12:03:20:834',1,0.723981,0.927364,0,0.604431,0.430931,-0.082326,0.915824,0.560325,-0.096855,1,0,0
53,'2026/05/14 12:03:20:866',1,0.723768,0.925916,0,0.604296,0.431155,-0.082091,0.915187,0.559429,-0.094627,1,0,0
54,'2026/05/14 12:03:20:898',1,0.725468,0.925475,0,0.603235,0.434895,-0.078234,0.917072,0.561197,-0.094716,1,0,0
55,'2026/05/14 12:03:20:931',1,0.725028,0.925429,0,0.605811,0.433407,-0.080619,0.9178,0.560696,-0.097659,1,0,0
56,'2026/05/14 12:03:20:962',1,0.726448,0.922853,0,0.603603,0.434163,-0.075532,0.9192,0.558653,-0.093177,1,0,0
57,'2026/05/14 12:03:20:993',1,0.726773,0.922568,0,0.606876,0.432393,-0.079926,0.918391,0.562126,-0.09517,1,0,0
58,'2026/05/14 12:03:21:026',1,0.725935,0.92399,0,0.608529,0.430726,-0.080495,0.918111,0.562188,-0.094952,1,0,0
59,'2026/05/14 12:03:21:058',1,0.725754,0.924646,0,0.609042,0.429789,-0.084016,0.918792,0.562374,-0.094418,1,0,0
60,'2026/05/14 12:03:21:106',1,0.726137,0.925719,0,0.609657,0.429339,-0.081057,0.918651,0.561068,-0.094239,1,0,0
61,'2026/05/14 12:03:21:143',1,0.727274,0.928334,0,0.608335,0.431524,-0.077825,0.919655,0.561895,-0.092203,1,0,0
62,'2026/05/14 12:03:21:181',1,0.727628,0.923532,0,0.609582,0.43011,-0.081482,0.919458,0.562622,-0.09331,1,0,0
63,'2026/05/14 12:03:21:213',1,0.728151,0.925208,0,0.608635,0.428779,-0.077523,0.921206,0.563542,-0.094609,1,0,0
64,'2026/05/14 12:03:21:245',1,0.725801,0.926178,0,0.609572,0.427399,-0.081485,0.920067,0.562432,-0.094573,1,0,0
65,'2026/05/14 12:03:21:275',1,0.726021,0.926457,0,0.60963,0.427266,-0.083821,0.919399,0.562773,-0.095275,1,0,0
66,'2026/05/14 12:03:21:306',1,0.726609,0.9245,0,0.608811,0.427961,-0.078944,0.920607,0.563715,-0.094166,1,0,0
67,'2026/05/14 12:03:21:339',1,0.726049,0.927635,0,0.60854,0.426719,-0.081723,0.919834,0.561803,-0.094164,1,0,0
68,'2026/05/14 12:03:21:369',1,0.725326,0.926961,0,0.608832,0.427633,-0.079225,0.920005,0.560802,-0.093418,1,0,0
69,'2026/05/14 12:03:21:401',1,0.724632,0.928796,0,0.608323,0.4257,-0.082388,0.919349,0.561418,-0.09407,1,0,0
70,'2026/05/14 12:03:21:432',1,0.724027,0.927931,0,0.608083,0.426153,-0.081766,0.918892,0.56142,-0.094391,1,0,0
71,'2026/05/14 12:03:21:464',1,0.723474,0.929119,0,0.608135,0.42695,-0.082298,0.918804,0.562325,-0.094206,1,0,0
72,'2026/05/14 12:03:21:494',1,0.725046,0.929343,0,0.607184,0.42539,-0.078928,0.918618,0.561525,-0.094449,1,0,0
73,'2026/05/14 12:03:21:525',1,0.724327,0.930768,0,0.606118,0.427008,-0.082229,0.919824,0.562557,-0.094883,1,0,0
74,'2026/05/14 12:03:21:556',1,0.724721,0.928898,0,0.606932,0.427159,-0.084499,0.919753,0.561208,-0.096494,1,0,0
75,'2026/05/14 12:03:21:588',1,0.725823,0.928918,0,0.606975,0.4265,-0.080631,0.920487,0.56123,-0.094542,1,0,0
76,'2026/05/14 12:03:21:618',1,0.72547,0.928145,0,0.607916,0.425485,-0.083708,0.919286,0.561472,-0.094989,1,0,0
77,'2026/05/14 12:03:21:650',1,0.724913,0.929438,0,0.608007,0.424508,-0.083741,0.919493,0.561179,-0.094938,1,0,0
78,'2026/05/14 12:03:21:682',1,0.727321,0.929265,0,0.6076,0.424895,-0.08042,0.919236,0.559879,-0.094871,1,0,0
79,'2026/05/14 12:03:21:715',1,0.725113,0.928524,0,0.608145,0.424398,-0.084005,0.919992,0.56169,-0.094474,1,0,0
80,'2026/05/14 12:03:21:761',1,0.725444,0.929053,0,0.608236,0.424727,-0.084133,0.920602,0.560133,-0.095602,1,0,0
81,'2026/05/14 12:03:21:794',1,0.726165,0.928927,0,0.608474,0.426327,-0.082059,0.92101,0.561093,-0.095128,1,0,0
82,'2026/05/14 12:03:21:823',1,0.728303,0.930461,0,0.609349,0.426571,-0.078169,0.921265,0.560496,-0.091673,1,0,0
83,'2026/05/14 12:03:21:855',1,0.728131,0.93014,0,0.609283,0.427595,-0.078482,0.922968,0.561308,-0.091803,1,0,0
84,'2026/05/14 12:03:21:889',1,0.728647,0.929238,0,0.610857,0.42683,-0.080435,0.922662,0.561189,-0.092572,1,0,0
85,'2026/05/14 12:03:21:921',1,0.728631,0.929098,0,0.611504,0.427569,-0.080959,0.922738,0.560861,-0.092236,1,0,0
86,'2026/05/14 12:03:21:952',1,0.728831,0.931421,0,0.610538,0.426623,-0.077824,0.925009,0.559855,-0.091413,1,0,0
87,'2026/05/14 12:03:22:000',1,0.728519,0.928818,0,0.611724,0.427468,-0.07925,0.922954,0.562508,-0.092391,1,0,0
88,'2026/05/14 12:03:22:029',1,0.728573,0.93047,0,0.610789,0.426942,-0.082455,0.923418,0.561255,-0.09391,1,0,0
89,'2026/05/14 12:03:22:063',1,0.728904,0.927344,0,0.611718,0.427427,-0.081177,0.922241,0.561871,-0.091492,1,0,0
90,'2026/05/14 12:03:22:091',1,0.729969,0.93034,0,0.609557,0.429323,-0.073803,0.923425,0.56125,-0.091275,1,0,0
91,'2026/05/14 12:03:22:124',1,0.728287,0.92964,0,0.609958,0.426689,-0.075872,0.921456,0.560294,-0.089888,1,0,0
92,'2026/05/14 12:03:22:158',1,0.728752,0.92861,0,0.611012,0.427486,-0.080671,0.921979,0.561675,-0.092535,1,0,0
93,'2026/05/14 12:03:22:187',1,0.729267,0.928834,0,0.611158,0.427298,-0.076423,0.921717,0.560352,-0.090018,1,0,0
94,'2026/05/14 12:03:22:218',1,0.73168,0.92878,0,0.609575,0.429152,-0.07585,0.921179,0.559916,-0.089033,1,0,0
95,'2026/05/14 12:03:22:253',1,0.729687,0.928115,0,0.611562,0.425927,-0.079054,0.920821,0.559778,-0.090908,1,0,0
96,'2026/05/14 12:03:22:283',1,0.728705,0.926562,0,0.612055,0.426874,-0.083101,0.920963,0.560403,-0.093863,1,0,0
97,'2026/05/14 12:03:22:311',1,0.729723,0.928451,0,0.610533,0.426152,-0.080146,0.921283,0.559631,-0.092056,1,0,0
98,'2026/05/14 12:03:22:344',1,0.729888,0.929511,0,0.610981,0.426278,-0.076812,0.921299,0.560281,-0.092108,1,0,0
99,'2026/05/14 12:03:22:378',1,0.72993,0.928541,0,0.612284,0.426344,-0.078229,0.921294,0.559876,-0.091482,1,0,0
100,'2026/05/14 12:03:22:407',1,0.728971,0.926567,0,0.612406,0.426124,-0.080068,0.920745,0.559762,-0.093454,1,0,0
101,'2026/05/14 12:03:22:453',1,0.730842,0.928356,0,0.609553,0.42972,-0.074878,0.922105,0.560408,-0.089984,1,0,0
102,'2026/05/14 12:03:22:487',1,0.730433,0.927845,0,0.610463,0.428093,-0.074482,0.921118,0.560188,-0.090339,1,0,0
103,'2026/05/14 12:03:22:520',1,0.728713,0.929919,0,0.610822,0.427765,-0.077626,0.920998,0.560068,-0.0903,1,0,0
104,'2026/05/14 12:03:22:553',1,0.729254,0.930129,0,0.61062,0.426653,-0.074197,0.921437,0.559834,-0.088647,1,0,0
105,'2026/05/14 12:03:22:580',1,0.729724,0.931284,0,0.609758,0.427092,-0.075262,0.921313,0.559092,-0.089344,1,0,0
106,'2026/05/14 12:03:22:634',1,0.7288,0.929712,0,0.610219,0.428017,-0.075872,0.920984,0.56066,-0.088355,1,0,0
107,'2026/05/14 12:03:22:659',1,0.729602,0.928436,0,0.611403,0.428616,-0.078271,0.922213,0.560892,-0.092696,1,0,0
108,'2026/05/14 12:03:22:690',1,0.729838,0.930253,0,0.609864,0.42821,-0.074038,0.921429,0.55993,-0.08741,1,0,0
109,'2026/05/14 12:03:22:723',1,0.731556,0.92688,0,0.611151,0.428913,-0.072674,0.922,0.561247,-0.091052,1,0,0
110,'2026/05/14 12:03:22:756',1,0.729628,0.927858,0,0.612156,0.427315,-0.077838,0.92047,0.55964,-0.090646,1,0,0
111,'2026/05/14 12:03:22:785',1,0.729938,0.929395,0,0.61172,0.428402,-0.075729,0.920895,0.559379,-0.087734,1,0,0
112,'2026/05/14 12:03:22:815',1,0.729165,0.927974,0,0.611783,0.428349,-0.079257,0.921253,0.560435,-0.089586,1,0,0
113,'2026/05/14 12:03:22:848',1,0.72991,0.929252,0,0.610396,0.428664,-0.078957,0.922451,0.559589,-0.090969,1,0,0
114,'2026/05/14 12:03:22:881',1,0.72973,0.927843,0,0.610889,0.427242,-0.074336,0.921204,0.55977,-0.089236,1,0,0
115,'2026/05/14 12:03:22:910',1,0.730801,0.927341,0,0.610465,0.429353,-0.072445,0.921129,0.56005,-0.089023,1,0,0
116,'2026/05/14 12:03:22:943',1,0.729374,0.925799,0,0.612156,0.42696,-0.076856,0.919647,0.558971,-0.091385,1,0,0
117,'2026/05/14 12:03:22:975',1,0.729032,0.928663,0,0.610093,0.428406,-0.075836,0.921245,0.559613,-0.089282,1,0,0
118,'2026/05/14 12:03:23:007',1,0.730151,0.927224,0,0.610466,0.428766,-0.0772,0.922642,0.560967,-0.09254,1,0,0
119,'2026/05/14 12:03:23:037',1,0.730444,0.926786,0,0.611097,0.427803,-0.078249,0.921422,0.561067,-0.090629,1,0,0
120,'2026/05/14 12:03:23:069',1,0.729948,0.929265,0,0.608027,0.428852,-0.077503,0.9223,0.560488,-0.090588,1,0,0
121,'2026/05/14 12:03:23:100',1,0.729132,0.928148,0,0.610282,0.42844,-0.078177,0.9212,0.56004,-0.091482,1,0,0
122,'2026/05/14 12:03:23:139',1,0.731265,0.929935,0,0.608364,0.4289,-0.074214,0.921372,0.55867,-0.088299,1,0,0
123,'2026/05/14 12:03:23:163',1,0.731014,0.927222,0,0.60796,0.429508,-0.076033,0.921807,0.560681,-0.09125,1,0,0
124,'2026/05/14 12:03:23:194',1,0.729934,0.927876,0,0.609262,0.429683,-0.073165,0.920952,0.560507,-0.089647,1,0,0
125,'2026/05/14 12:03:23:226',1,0.73035,0.928299,0,0.608795,0.430301,-0.072205,0.921036,0.561272,-0.088592,1,0,0
126,'2026/05/14 12:03:23:259',1,0.729742,0.928282,0,0.609504,0.428722,-0.072304,0.920263,0.56031,-0.08867,1,0,0
127,'2026/05/14 12:03:23:292',1,0.729899,0.92535,0,0.607758,0.431168,-0.073342,0.92224,0.560478,-0.091814,1,0,0
128,'2026/05/14 12:03:23:331',1,0.730451,0.930422,0,0.607212,0.42878,-0.076544,0.922231,0.559073,-0.09187,1,0,0
129,'2026/05/14 12:03:23:354',1,0.73005,0.928047,0,0.608466,0.429433,-0.075503,0.921894,0.559684,-0.092386,1,0,0
130,'2026/05/14 12:03:23:386',1,0.73036,0.928234,0,0.608784,0.428477,-0.076027,0.922406,0.559339,-0.091263,1,0,0
131,'2026/05/14 12:03:23:418',1,0.728923,0.928282,0,0.608776,0.428542,-0.076337,0.921965,0.559743,-0.091049,1,0,0
132,'2026/05/14 12:03:23:449',1,0.731067,0.92942,0,0.608557,0.430856,-0.073701,0.922477,0.559635,-0.091657,1,0,0
133,'2026/05/14 12:03:23:488',1,0.730665,0.928434,0,0.608847,0.431699,-0.074589,0.922455,0.559587,-0.092207,1,0,0
134,'2026/05/14 12:03:23:513',1,0.731424,0.926321,0,0.609128,0.431287,-0.073291,0.923198,0.559354,-0.090462,1,0,0
135,'2026/05/14 12:03:23:544',1,0.730672,0.92662,0,0.609652,0.431015,-0.074084,0.922264,0.559822,-0.091214,1,0,0
136,'2026/05/14 12:03:23:577',1,0.730348,0.928462,0,0.609008,0.431345,-0.073657,0.923339,0.559651,-0.090612,1,0,0
137,'2026/05/14 12:03:23:606',1,0.728305,0.928311,0,0.61298,0.42917,-0.077483,0.920785,0.55967,-0.091215,1,0,0
138,'2026/05/14 12:03:23:637',1,0.729556,0.925041,0,0.610798,0.428217,-0.07522,0.922373,0.561616,-0.090377,1,0,0
139,'2026/05/14 12:03:23:668',1,0.731061,0.928805,0,0.6097,0.432238,-0.072023,0.922753,0.55992,-0.089799,1,0,0
140,'2026/05/14 12:03:23:699',1,0.73033,0.928418,0,0.609831,0.430497,-0.073087,0.922129,0.559676,-0.089955,1,0,0
141,'2026/05/14 12:03:23:733',1,0.729814,0.927049,0,0.609973,0.429639,-0.07415,0.921946,0.560312,-0.091052,1,0,0
142,'2026/05/14 12:03:23:766',1,0.730004,0.927669,0,0.609404,0.432737,-0.071328,0.921671,0.560598,-0.091964,1,0,0
143,'2026/05/14 12:03:23:797',1,0.729701,0.927784,0,0.609273,0.428868,-0.07463,0.921112,0.560252,-0.089854,1,0,0
144,'2026/05/14 12:03:23:827',1,0.730993,0.927479,0,0.609147,0.432462,-0.070851,0.922073,0.560863,-0.090125,1,0,0
145,'2026/05/14 12:03:23:859',1,0.729989,0.928013,0,0.609082,0.429075,-0.07386,0.922102,0.55991,-0.091464,1,0,0
146,'2026/05/14 12:03:23:897',1,0.72963,0.926978,0,0.610199,0.429316,-0.07729,0.921876,0.560295,-0.092575,1,0,0
147,'2026/05/14 12:03:23:936',1,0.729238,0.926655,0,0.610183,0.429178,-0.075466,0.921584,0.559883,-0.090453,1,0,0
148,'2026/05/14 12:03:23:967',1,0.729146,0.927177,0,0.60835,0.430594,-0.074264,0.92256,0.560113,-0.091117,1,0,0
149,'2026/05/14 12:03:23:997',1,0.729803,0.92707,0,0.610039,0.428972,-0.07485,0.9217,0.560758,-0.090592,1,0,0
150,'2026/05/14 12:03:24:030',1,0.730078,0.928249,0,0.609498,0.428926,-0.073999,0.921954,0.560199,-0.0903,1,0,0
151,'2026/05/14 12:03:24:069',1,0.730201,0.924328,0,0.610915,0.429984,-0.074438,0.922638,0.559364,-0.09112,1,0,0
152,'2026/05/14 12:03:24:099',1,0.729994,0.928221,0,0.609904,0.428503,-0.075288,0.921108,0.559628,-0.089192,1,0,0
153,'2026/05/14 12:03:24:132',1,0.730062,0.93018,0,0.609399,0.429929,-0.075482,0.921265,0.558128,-0.089532,1,0,0
