@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute inputs-43 numeric
@attribute inputs-44 numeric
@attribute inputs-45 numeric
@attribute inputs-46 numeric
@attribute inputs-47 numeric
@attribute inputs-48 numeric
@attribute inputs-49 numeric
@attribute inputs-50 numeric
@attribute inputs-51 numeric
@attribute inputs-52 numeric
@attribute inputs-53 numeric
@attribute inputs-54 numeric
@attribute inputs-55 numeric
@attribute inputs-56 numeric
@attribute inputs-57 numeric
@attribute inputs-58 numeric
@attribute inputs-59 numeric
@attribute inputs-60 numeric
@attribute inputs-61 numeric
@attribute inputs-62 numeric
@attribute inputs-63 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
11,'2026/05/06 10:37:40:311',1,0.652695,0.770391,0,0.600493,0.746362,-0.02307,0.55186,0.715114,-0.039531,0.51137,0.694698,-0.055906,0.476396,0.688703,-0.073452,0.595669,0.608277,-0.021076,0.576428,0.546074,-0.035011,0.565487,0.506105,-0.048438,0.557267,0.471869,-0.059085,0.63201,0.594187,-0.021928,0.630605,0.523102,-0.030442,0.628263,0.480058,-0.039391,0.626867,0.446134,-0.04792,0.666001,0.602135,-0.026085,0.678282,0.541993,-0.036201,0.68467,0.505142,-0.046347,0.689577,0.474221,-0.054767,0.694287,0.626063,-0.032887,0.720109,0.59229,-0.041879,0.736356,0.568212,-0.04704,0.749031,0.545216,-0.051439,1,0,0
12,'2026/05/06 10:37:40:343',1,0.652323,0.771971,0,0.601572,0.747085,-0.02341,0.553295,0.716334,-0.04049,0.512508,0.695603,-0.057495,0.477355,0.687471,-0.075578,0.595665,0.608685,-0.020958,0.575358,0.545925,-0.035495,0.564256,0.505094,-0.049545,0.556324,0.470326,-0.060608,0.631884,0.594581,-0.02181,0.630132,0.52279,-0.03083,0.628828,0.479871,-0.039979,0.628283,0.447315,-0.048666,0.665954,0.602602,-0.026084,0.677335,0.541662,-0.036663,0.684361,0.504804,-0.046793,0.689676,0.474822,-0.055115,0.694655,0.626467,-0.033053,0.719981,0.5909,-0.042421,0.736049,0.5661,-0.04756,0.748253,0.542761,-0.051894,1,0,0
13,'2026/05/06 10:37:40:376',1,0.652844,0.770828,0,0.600453,0.747187,-0.023228,0.551559,0.715585,-0.039185,0.51013,0.694643,-0.054978,0.474699,0.688613,-0.071817,0.594889,0.608852,-0.020132,0.575449,0.54552,-0.033315,0.564598,0.50457,-0.046078,0.556456,0.4696,-0.056309,0.631299,0.594593,-0.020499,0.629498,0.523372,-0.02857,0.627337,0.480486,-0.037175,0.626237,0.447039,-0.045376,0.665414,0.602495,-0.024206,0.676892,0.542566,-0.034096,0.683779,0.505832,-0.044091,0.689345,0.475309,-0.052282,0.693789,0.626106,-0.030562,0.719055,0.592394,-0.039589,0.735339,0.568234,-0.044819,0.748208,0.545287,-0.049127,1,0,0
14,'2026/05/06 10:37:40:418',1,0.652211,0.77237,0,0.600725,0.747675,-0.022727,0.551933,0.716295,-0.039037,0.511828,0.695401,-0.055381,0.47648,0.688652,-0.07285,0.594871,0.607836,-0.01978,0.574991,0.545138,-0.033362,0.563778,0.504838,-0.046858,0.555341,0.470388,-0.057688,0.631241,0.593826,-0.020642,0.629555,0.523205,-0.028673,0.627534,0.480753,-0.037615,0.626317,0.448011,-0.0464,0.66524,0.60224,-0.024834,0.67698,0.540502,-0.03452,0.684009,0.50362,-0.044446,0.689356,0.473688,-0.052919,0.69367,0.627033,-0.031687,0.719143,0.591736,-0.040594,0.735086,0.567031,-0.045725,0.747343,0.543852,-0.05018,1,0,0
15,'2026/05/06 10:37:40:454',1,0.652499,0.77002,0,0.599188,0.746668,-0.022632,0.550499,0.715164,-0.038037,0.509859,0.694377,-0.053352,0.47497,0.687757,-0.069667,0.594736,0.607972,-0.018588,0.575034,0.545453,-0.031137,0.563935,0.505374,-0.043717,0.555648,0.470884,-0.05381,0.631143,0.59332,-0.018947,0.629237,0.523496,-0.025867,0.627292,0.480882,-0.033854,0.626261,0.447544,-0.041737,0.665185,0.600963,-0.022715,0.676449,0.541535,-0.031635,0.683197,0.504883,-0.041172,0.688644,0.474182,-0.049143,0.693522,0.624215,-0.029155,0.71903,0.590208,-0.037725,0.73526,0.56575,-0.042834,0.748145,0.542269,-0.047036,1,0,0
16,'2026/05/06 10:37:40:490',1,0.65291,0.770218,0,0.600159,0.746209,-0.022932,0.550851,0.715002,-0.038847,0.510399,0.69449,-0.054681,0.475177,0.688273,-0.071608,0.594797,0.607701,-0.019156,0.574918,0.545301,-0.032063,0.563801,0.505025,-0.045104,0.555437,0.47046,-0.05566,0.631159,0.593253,-0.01968,0.629153,0.52235,-0.027113,0.627268,0.480055,-0.035633,0.626363,0.447473,-0.04407,0.665289,0.601196,-0.023609,0.676152,0.540411,-0.03295,0.683099,0.503928,-0.042868,0.688686,0.474199,-0.051249,0.694004,0.62518,-0.030223,0.718761,0.590096,-0.038899,0.73449,0.565921,-0.04401,0.746659,0.543219,-0.048408,1,0,0
17,'2026/05/06 10:37:40:519',1,0.651376,0.768659,0,0.599304,0.745352,-0.023521,0.550656,0.714623,-0.039989,0.510348,0.694022,-0.056351,0.47522,0.687601,-0.073775,0.594232,0.607749,-0.020501,0.574397,0.544783,-0.033964,0.563348,0.504028,-0.047136,0.555182,0.469218,-0.057706,0.63053,0.593593,-0.020851,0.628357,0.523304,-0.029036,0.62621,0.480835,-0.03781,0.625008,0.448002,-0.046352,0.664649,0.601308,-0.024585,0.675565,0.540409,-0.034434,0.682479,0.503605,-0.044257,0.688145,0.473727,-0.052516,0.693322,0.624709,-0.031042,0.718256,0.589194,-0.039949,0.734367,0.564848,-0.045036,0.747119,0.54212,-0.049405,1,0,0
18,'2026/05/06 10:37:40:549',1,0.651304,0.76954,0,0.598717,0.74593,-0.022645,0.549948,0.713821,-0.03856,0.509757,0.693575,-0.054369,0.474433,0.687931,-0.07128,0.594101,0.606936,-0.019843,0.574701,0.544098,-0.032982,0.563607,0.503642,-0.045964,0.555311,0.469095,-0.056428,0.630228,0.593061,-0.02068,0.628663,0.521758,-0.0285,0.626878,0.479205,-0.037066,0.62625,0.446508,-0.045473,0.664045,0.601205,-0.024849,0.675453,0.54055,-0.0345,0.682592,0.503413,-0.044679,0.688368,0.472881,-0.053288,0.692483,0.625276,-0.031641,0.717834,0.590281,-0.040649,0.734369,0.565862,-0.04606,0.747497,0.542614,-0.050737,1,0,0
19,'2026/05/06 10:37:40:579',1,0.650742,0.768995,0,0.600572,0.744202,-0.022934,0.552044,0.713529,-0.039877,0.511442,0.693253,-0.056837,0.475919,0.685675,-0.074945,0.593533,0.607092,-0.020846,0.573159,0.543919,-0.034944,0.561913,0.503556,-0.048824,0.553981,0.468935,-0.059842,0.629982,0.592794,-0.021767,0.628071,0.521531,-0.030209,0.626326,0.478578,-0.039327,0.625129,0.445575,-0.048227,0.664152,0.6008,-0.025968,0.675312,0.539034,-0.035982,0.682272,0.50211,-0.045876,0.687509,0.472122,-0.054203,0.693009,0.624999,-0.032821,0.718291,0.589305,-0.04177,0.734104,0.564188,-0.046664,0.745958,0.540462,-0.050926,1,0,0
20,'2026/05/06 10:37:40:609',1,0.651565,0.768215,0,0.599931,0.744491,-0.023121,0.551106,0.713879,-0.039354,0.510894,0.693363,-0.055521,0.475692,0.686735,-0.072765,0.593956,0.607414,-0.019943,0.573422,0.54473,-0.033352,0.562166,0.503938,-0.046588,0.554053,0.468899,-0.057218,0.630403,0.592601,-0.020394,0.62833,0.522398,-0.028447,0.626631,0.479734,-0.037087,0.625627,0.446926,-0.045556,0.664542,0.599953,-0.024224,0.675483,0.539942,-0.033965,0.682512,0.503702,-0.04366,0.688046,0.474357,-0.051761,0.693189,0.623272,-0.030762,0.718141,0.588533,-0.039488,0.733823,0.564017,-0.044436,0.745749,0.541198,-0.048686,1,0,0
