@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute inputs-43 numeric
@attribute inputs-44 numeric
@attribute inputs-45 numeric
@attribute inputs-46 numeric
@attribute inputs-47 numeric
@attribute inputs-48 numeric
@attribute inputs-49 numeric
@attribute inputs-50 numeric
@attribute inputs-51 numeric
@attribute inputs-52 numeric
@attribute inputs-53 numeric
@attribute inputs-54 numeric
@attribute inputs-55 numeric
@attribute inputs-56 numeric
@attribute inputs-57 numeric
@attribute inputs-58 numeric
@attribute inputs-59 numeric
@attribute inputs-60 numeric
@attribute inputs-61 numeric
@attribute inputs-62 numeric
@attribute inputs-63 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
185,'2026/05/06 10:37:46:096',1,0.65518,0.770602,0,0.604145,0.745485,-0.023175,0.555508,0.714405,-0.040098,0.514982,0.69383,-0.057033,0.479796,0.687339,-0.075106,0.59892,0.609106,-0.020926,0.580418,0.544807,-0.034973,0.570079,0.503529,-0.048863,0.56243,0.468508,-0.059945,0.63526,0.595012,-0.02167,0.634458,0.523356,-0.029909,0.633395,0.480519,-0.039052,0.632824,0.447156,-0.048019,0.669278,0.602604,-0.02571,0.681859,0.540572,-0.035121,0.689847,0.503536,-0.044963,0.695824,0.473223,-0.053519,0.697784,0.626438,-0.032505,0.723446,0.591789,-0.040984,0.739171,0.567805,-0.045712,0.75072,0.545509,-0.049951,1,0,0
186,'2026/05/06 10:37:46:129',1,0.655881,0.772514,0,0.60349,0.747824,-0.023434,0.554888,0.715537,-0.039907,0.514637,0.694701,-0.056222,0.479996,0.688423,-0.073593,0.599225,0.60827,-0.020556,0.580613,0.54421,-0.034072,0.570337,0.503396,-0.047543,0.562794,0.468309,-0.058399,0.635676,0.594177,-0.021035,0.634686,0.523182,-0.028862,0.633527,0.48037,-0.037522,0.633181,0.44661,-0.046089,0.669494,0.602316,-0.02491,0.681946,0.541379,-0.034133,0.690038,0.504545,-0.043717,0.696438,0.473786,-0.052061,0.697661,0.626516,-0.03157,0.723077,0.591869,-0.040101,0.738995,0.568113,-0.044878,0.751388,0.54558,-0.049094,1,0,0
187,'2026/05/06 10:37:46:174',1,0.655843,0.771722,0,0.603829,0.74712,-0.024184,0.554871,0.714895,-0.041128,0.513324,0.694741,-0.057872,0.478438,0.688861,-0.07569,0.599948,0.608675,-0.02163,0.581295,0.544378,-0.036139,0.570843,0.503455,-0.050249,0.562979,0.468414,-0.061414,0.636227,0.594558,-0.022024,0.635434,0.523563,-0.030595,0.633581,0.479979,-0.039819,0.632397,0.444813,-0.048695,0.669843,0.602452,-0.025881,0.682175,0.541303,-0.035357,0.689426,0.5042,-0.044854,0.695131,0.47255,-0.053124,0.697716,0.626471,-0.032641,0.723,0.592205,-0.041076,0.738853,0.568348,-0.045639,0.751226,0.54565,-0.049709,1,0,0
188,'2026/05/06 10:37:46:209',1,0.655556,0.770965,0,0.604061,0.746838,-0.023535,0.555882,0.715329,-0.040466,0.515892,0.694614,-0.057282,0.480969,0.688357,-0.075159,0.599084,0.60779,-0.021511,0.580482,0.543863,-0.035502,0.570159,0.502729,-0.049184,0.562646,0.46749,-0.06015,0.635797,0.594013,-0.022187,0.634966,0.523104,-0.030387,0.633881,0.480014,-0.039169,0.633408,0.446467,-0.047842,0.669793,0.602405,-0.026203,0.682364,0.541651,-0.035692,0.690529,0.504856,-0.045232,0.696663,0.474524,-0.053548,0.698008,0.626845,-0.033001,0.723479,0.592058,-0.041695,0.73925,0.56835,-0.04641,0.751133,0.546022,-0.050594,1,0,0
189,'2026/05/06 10:37:46:238',1,0.656091,0.771104,0,0.604374,0.747226,-0.024117,0.555704,0.715568,-0.040998,0.514295,0.69558,-0.057564,0.478783,0.690508,-0.075336,0.599284,0.609203,-0.022607,0.580542,0.544577,-0.036663,0.570192,0.503266,-0.050211,0.562429,0.467781,-0.061082,0.635625,0.595201,-0.022882,0.634719,0.524415,-0.031387,0.633175,0.481152,-0.040593,0.632442,0.446251,-0.049641,0.669295,0.603008,-0.026448,0.681692,0.542189,-0.03613,0.689226,0.504406,-0.04625,0.695172,0.472233,-0.055104,0.69719,0.626477,-0.032789,0.72257,0.591943,-0.041582,0.738841,0.568011,-0.046669,0.751707,0.545308,-0.051274,1,0,0
190,'2026/05/06 10:37:46:270',1,0.656336,0.7711,0,0.604887,0.746524,-0.024417,0.556113,0.715011,-0.041945,0.514002,0.694688,-0.059167,0.478566,0.688539,-0.077529,0.599017,0.609062,-0.02355,0.580523,0.544293,-0.038181,0.570283,0.503312,-0.05202,0.562612,0.467909,-0.063124,0.635544,0.595305,-0.024004,0.634961,0.523632,-0.033253,0.633347,0.481218,-0.042644,0.632268,0.447151,-0.051701,0.669304,0.603627,-0.027741,0.6817,0.541268,-0.038191,0.689102,0.503347,-0.048082,0.694728,0.47107,-0.056613,0.697124,0.627931,-0.034246,0.722724,0.592926,-0.043549,0.738632,0.568601,-0.048473,0.750776,0.545291,-0.052839,1,0,0
191,'2026/05/06 10:37:46:303',1,0.655801,0.772434,0,0.602799,0.748158,-0.023382,0.55371,0.715922,-0.039614,0.513554,0.694953,-0.055719,0.479323,0.688528,-0.072903,0.598782,0.608927,-0.020097,0.580081,0.544421,-0.03357,0.569759,0.50328,-0.047016,0.562191,0.468178,-0.057815,0.635306,0.595196,-0.020584,0.634931,0.523896,-0.028288,0.633369,0.480927,-0.036952,0.632349,0.447219,-0.04551,0.669182,0.603187,-0.024523,0.681935,0.541812,-0.03353,0.689607,0.504022,-0.043316,0.695533,0.472565,-0.051871,0.697289,0.627044,-0.031265,0.722806,0.592594,-0.039679,0.738582,0.568431,-0.044648,0.75071,0.545568,-0.049063,1,0,0
192,'2026/05/06 10:37:46:334',1,0.656465,0.772348,0,0.604808,0.747644,-0.023744,0.556061,0.714743,-0.040226,0.514533,0.694625,-0.056475,0.478947,0.690589,-0.073836,0.599282,0.609253,-0.021491,0.5806,0.544689,-0.035656,0.57039,0.503207,-0.049293,0.562747,0.468044,-0.0601,0.635438,0.595248,-0.02202,0.63451,0.523877,-0.030445,0.633195,0.480398,-0.039373,0.632663,0.4457,-0.047938,0.669199,0.603118,-0.025927,0.681798,0.541915,-0.035636,0.688838,0.504526,-0.045254,0.694258,0.473002,-0.053441,0.697411,0.627159,-0.032635,0.722781,0.592658,-0.041332,0.738719,0.568402,-0.045993,0.751099,0.545602,-0.050026,1,0,0
193,'2026/05/06 10:37:46:365',1,0.655283,0.772361,0,0.603198,0.747662,-0.02299,0.554894,0.715511,-0.038898,0.514893,0.695025,-0.054666,0.480153,0.689634,-0.07154,0.598827,0.608807,-0.019796,0.580109,0.544798,-0.032633,0.569897,0.503518,-0.045444,0.562347,0.468482,-0.055812,0.635395,0.595053,-0.02025,0.634463,0.52375,-0.027633,0.633234,0.480376,-0.036203,0.63272,0.446721,-0.044721,0.669312,0.603251,-0.024023,0.682194,0.542543,-0.032997,0.690136,0.505207,-0.042984,0.69617,0.474414,-0.051585,0.697383,0.627143,-0.030482,0.722802,0.592509,-0.038876,0.73861,0.568205,-0.043924,0.750764,0.545377,-0.048368,1,0,0
194,'2026/05/06 10:37:46:397',1,0.655767,0.771991,0,0.604404,0.74685,-0.02357,0.555925,0.714724,-0.040396,0.515515,0.694518,-0.057104,0.481091,0.688551,-0.074881,0.5992,0.608753,-0.021198,0.58097,0.544879,-0.03531,0.570662,0.504102,-0.049136,0.562943,0.469124,-0.060238,0.635665,0.594991,-0.02186,0.634995,0.523477,-0.030364,0.633589,0.480945,-0.039448,0.632659,0.447358,-0.048305,0.669466,0.603074,-0.02589,0.681865,0.541229,-0.035704,0.689714,0.50403,-0.045523,0.695671,0.472789,-0.054007,0.697638,0.627255,-0.032686,0.723347,0.592313,-0.04162,0.739097,0.568237,-0.046513,0.750905,0.545391,-0.050838,1,0,0
195,'2026/05/06 10:37:46:432',1,0.655985,0.77148,0,0.604427,0.747325,-0.024377,0.555875,0.715279,-0.041511,0.515332,0.694731,-0.058319,0.480824,0.688638,-0.076205,0.599278,0.608829,-0.022781,0.580569,0.544268,-0.037171,0.570292,0.50322,-0.050917,0.562744,0.467787,-0.061891,0.635881,0.59492,-0.023042,0.63513,0.52377,-0.031686,0.633712,0.481033,-0.040588,0.632861,0.447095,-0.049249,0.669664,0.602905,-0.026678,0.682067,0.541712,-0.036466,0.689628,0.504086,-0.046074,0.695585,0.472287,-0.054403,0.697623,0.626765,-0.033153,0.722768,0.59234,-0.042085,0.738558,0.568415,-0.046957,0.750901,0.545582,-0.051231,1,0,0
196,'2026/05/06 10:37:46:462',1,0.656684,0.77261,0,0.604395,0.74759,-0.023561,0.555578,0.715298,-0.039925,0.514914,0.694269,-0.055995,0.480373,0.687808,-0.073134,0.599457,0.608417,-0.021127,0.580873,0.544045,-0.034643,0.570698,0.502531,-0.047898,0.563068,0.467358,-0.058541,0.635927,0.594629,-0.021405,0.634863,0.522987,-0.0292,0.633822,0.480106,-0.037659,0.633493,0.446763,-0.046067,0.669773,0.602938,-0.02505,0.682305,0.541643,-0.034237,0.690295,0.504419,-0.043815,0.696515,0.47336,-0.05221,0.69792,0.627071,-0.031451,0.723172,0.592367,-0.040106,0.738949,0.568413,-0.045014,0.751217,0.545671,-0.049341,1,0,0
197,'2026/05/06 10:37:46:495',1,0.656094,0.771533,0,0.604058,0.746453,-0.023098,0.555577,0.714307,-0.039421,0.515877,0.693863,-0.055683,0.481427,0.687892,-0.073001,0.599908,0.60834,-0.020067,0.581221,0.54469,-0.033651,0.570949,0.503568,-0.047152,0.563447,0.468533,-0.05798,0.63634,0.59451,-0.02075,0.635213,0.523233,-0.028627,0.633725,0.480518,-0.037304,0.632897,0.447091,-0.045784,0.670246,0.60255,-0.024817,0.682581,0.541546,-0.034069,0.690474,0.504905,-0.043586,0.696468,0.47445,-0.051788,0.698381,0.626824,-0.03165,0.723776,0.592382,-0.040099,0.7395,0.568573,-0.044765,0.75133,0.546111,-0.048864,1,0,0
198,'2026/05/06 10:37:46:530',1,0.656212,0.772209,0,0.604458,0.74765,-0.024208,0.555804,0.715016,-0.041168,0.514846,0.694697,-0.057833,0.479763,0.689479,-0.075629,0.600161,0.609069,-0.02249,0.581644,0.544616,-0.036788,0.571481,0.503474,-0.050569,0.56383,0.468113,-0.061591,0.636373,0.595357,-0.022948,0.635748,0.523883,-0.031691,0.633925,0.480432,-0.041009,0.632681,0.445254,-0.049982,0.6699,0.60338,-0.026738,0.68252,0.542147,-0.036503,0.689638,0.504736,-0.046435,0.695135,0.472561,-0.055042,0.697749,0.627404,-0.033362,0.723322,0.592996,-0.042058,0.739509,0.569079,-0.046948,0.752161,0.546192,-0.051328,1,0,0
199,'2026/05/06 10:37:46:575',1,0.65625,0.772859,0,0.606254,0.746467,-0.023042,0.558265,0.71495,-0.039974,0.516924,0.694128,-0.056953,0.481277,0.687182,-0.074996,0.600275,0.609088,-0.02014,0.581033,0.544468,-0.034129,0.570538,0.50317,-0.047986,0.563119,0.467929,-0.059082,0.636619,0.594777,-0.020987,0.635408,0.523399,-0.029221,0.6346,0.48043,-0.038244,0.634168,0.447105,-0.047094,0.670306,0.602543,-0.025206,0.682586,0.541378,-0.03476,0.691082,0.504569,-0.044497,0.697429,0.474193,-0.052901,0.698354,0.626443,-0.032158,0.723751,0.592578,-0.040839,0.739606,0.568828,-0.045629,0.751287,0.546353,-0.049852,1,0,0
200,'2026/05/06 10:37:46:614',1,0.656343,0.772985,0,0.603986,0.747959,-0.022552,0.555709,0.714556,-0.038081,0.516257,0.693243,-0.053621,0.481868,0.68742,-0.070289,0.600236,0.608728,-0.018896,0.581755,0.544613,-0.032024,0.571531,0.503475,-0.045319,0.563869,0.468216,-0.056076,0.63672,0.594997,-0.019774,0.636291,0.522939,-0.027343,0.634623,0.47991,-0.036151,0.633381,0.445761,-0.044766,0.670515,0.603245,-0.023994,0.68338,0.541433,-0.033082,0.691179,0.504327,-0.042826,0.69704,0.472962,-0.051224,0.69846,0.627728,-0.030914,0.724189,0.592712,-0.03924,0.740023,0.568688,-0.043876,0.751953,0.5458,-0.048011,1,0,0
201,'2026/05/06 10:37:46:645',1,0.656027,0.772464,0,0.604332,0.747353,-0.023699,0.555765,0.714593,-0.040145,0.515519,0.693662,-0.056407,0.480823,0.688237,-0.073734,0.599964,0.607974,-0.020774,0.581271,0.54417,-0.034601,0.570984,0.503159,-0.048023,0.563405,0.468331,-0.058723,0.636592,0.594351,-0.021251,0.635986,0.522762,-0.029321,0.634686,0.479647,-0.037813,0.633853,0.446223,-0.046083,0.670494,0.602803,-0.025196,0.68329,0.542247,-0.034835,0.690942,0.505084,-0.044488,0.696748,0.474321,-0.052665,0.698496,0.627258,-0.031942,0.723942,0.593407,-0.040763,0.739692,0.569492,-0.045646,0.751768,0.546938,-0.049838,1,0,0
202,'2026/05/06 10:37:46:675',1,0.656631,0.772927,0,0.605803,0.747561,-0.023331,0.557405,0.715101,-0.039866,0.5175,0.69399,-0.056436,0.482915,0.688031,-0.074041,0.600644,0.608884,-0.020005,0.581634,0.54477,-0.034181,0.571326,0.503632,-0.04812,0.563802,0.468643,-0.059128,0.636936,0.594927,-0.020681,0.636046,0.523397,-0.028704,0.635051,0.480841,-0.037265,0.63429,0.448014,-0.045636,0.670837,0.602894,-0.024848,0.683242,0.541509,-0.034258,0.69136,0.504816,-0.043391,0.697548,0.474777,-0.051187,0.698974,0.62717,-0.031862,0.724376,0.592571,-0.040323,0.740057,0.568679,-0.044696,0.751776,0.546298,-0.048487,1,0,0
203,'2026/05/06 10:37:46:707',1,0.65697,0.772556,0,0.605664,0.747259,-0.02406,0.557428,0.7149,-0.040875,0.516067,0.69419,-0.057458,0.480935,0.687544,-0.075011,0.600095,0.608618,-0.021158,0.581789,0.54395,-0.035475,0.571461,0.502986,-0.049295,0.563654,0.467652,-0.060232,0.636604,0.594779,-0.021583,0.636057,0.523583,-0.030047,0.634357,0.481005,-0.038943,0.633043,0.446893,-0.047437,0.670461,0.602913,-0.025503,0.683068,0.541886,-0.035202,0.690727,0.50446,-0.044714,0.696629,0.472605,-0.052791,0.698461,0.626985,-0.032274,0.72407,0.59296,-0.040932,0.740046,0.568963,-0.045561,0.752399,0.545886,-0.049545,1,0,0
204,'2026/05/06 10:37:46:737',1,0.656508,0.774189,0,0.604607,0.748011,-0.023221,0.556273,0.714505,-0.039405,0.515802,0.693224,-0.055452,0.480912,0.687083,-0.072552,0.600537,0.608515,-0.020315,0.581855,0.54432,-0.034175,0.571602,0.502893,-0.047676,0.563988,0.467335,-0.058458,0.636906,0.594812,-0.021026,0.636074,0.523317,-0.029143,0.634902,0.480467,-0.037563,0.634257,0.446644,-0.045754,0.67059,0.603266,-0.025177,0.683331,0.542522,-0.0346,0.691347,0.50567,-0.043699,0.697516,0.474491,-0.051542,0.698473,0.627748,-0.032135,0.7239,0.593311,-0.040757,0.73975,0.569034,-0.045304,0.751969,0.545625,-0.049262,1,0,0
205,'2026/05/06 10:37:46:769',1,0.656472,0.771521,0,0.604347,0.746847,-0.023211,0.555903,0.71428,-0.039305,0.515768,0.693211,-0.055161,0.481198,0.687746,-0.07221,0.599939,0.609059,-0.020988,0.581764,0.544742,-0.034657,0.571771,0.503337,-0.04807,0.564226,0.468088,-0.058831,0.636479,0.59529,-0.02165,0.635884,0.523958,-0.029781,0.634379,0.480614,-0.038878,0.633542,0.44596,-0.047721,0.670326,0.603342,-0.025594,0.68311,0.542664,-0.035107,0.69087,0.50496,-0.045331,0.697011,0.473099,-0.05414,0.69824,0.627132,-0.032226,0.723595,0.592717,-0.040997,0.739868,0.56871,-0.046125,0.752725,0.545934,-0.050646,1,0,0
206,'2026/05/06 10:37:46:801',1,0.656444,0.772571,0,0.604385,0.747987,-0.023624,0.555677,0.714911,-0.039972,0.514846,0.694402,-0.056168,0.479887,0.689189,-0.073456,0.600286,0.60825,-0.020773,0.581673,0.543465,-0.034599,0.571409,0.502726,-0.048139,0.563599,0.467826,-0.058959,0.63689,0.594585,-0.021339,0.636303,0.523543,-0.029471,0.634389,0.480408,-0.038524,0.633011,0.445687,-0.047275,0.670715,0.60259,-0.025316,0.683081,0.541678,-0.034737,0.690452,0.504431,-0.044619,0.696172,0.472721,-0.053106,0.698696,0.626528,-0.032097,0.723745,0.592507,-0.040667,0.739583,0.568699,-0.045569,0.751868,0.546004,-0.049863,1,0,0
207,'2026/05/06 10:37:46:832',1,0.655855,0.770993,0,0.604371,0.746183,-0.023586,0.55601,0.713704,-0.040148,0.514789,0.693488,-0.056638,0.479769,0.688048,-0.074272,0.600306,0.608548,-0.02111,0.581609,0.544363,-0.035444,0.571354,0.50347,-0.049372,0.563936,0.468372,-0.060348,0.63614,0.594761,-0.021691,0.635508,0.523846,-0.030042,0.634125,0.480759,-0.039056,0.633371,0.446333,-0.047709,0.669719,0.602601,-0.025665,0.682401,0.541866,-0.034888,0.689419,0.505286,-0.044149,0.694926,0.474355,-0.052145,0.697714,0.626427,-0.032516,0.723302,0.59224,-0.040511,0.739214,0.568272,-0.044776,0.751617,0.545865,-0.048588,1,0,0
208,'2026/05/06 10:37:46:863',1,0.656419,0.773685,0,0.605055,0.748255,-0.023807,0.55689,0.715134,-0.040447,0.516146,0.693551,-0.05687,0.481408,0.686549,-0.0743,0.599568,0.608727,-0.020934,0.581421,0.544287,-0.035221,0.570895,0.503502,-0.049263,0.562818,0.468161,-0.060446,0.636076,0.594937,-0.021339,0.63533,0.523638,-0.029741,0.63382,0.481307,-0.038708,0.632698,0.447519,-0.047391,0.66991,0.603193,-0.025192,0.682377,0.541173,-0.034771,0.690351,0.503666,-0.044306,0.696558,0.472054,-0.052554,0.698003,0.62741,-0.031866,0.723328,0.592205,-0.040561,0.739186,0.568359,-0.045246,0.751431,0.545676,-0.049358,1,0,0
209,'2026/05/06 10:37:46:894',1,0.655745,0.770664,0,0.603773,0.746574,-0.02398,0.55547,0.714236,-0.040705,0.513696,0.69394,-0.057185,0.478267,0.689237,-0.074786,0.599452,0.608914,-0.021854,0.580457,0.544413,-0.036174,0.570107,0.502742,-0.04986,0.562521,0.467216,-0.060697,0.635657,0.594749,-0.022326,0.634576,0.523481,-0.030811,0.633552,0.479626,-0.039691,0.633363,0.444747,-0.048297,0.669209,0.60248,-0.026193,0.681205,0.541783,-0.035717,0.688218,0.504477,-0.045132,0.693777,0.472857,-0.0533,0.697183,0.626059,-0.032923,0.722451,0.591515,-0.041456,0.738714,0.567374,-0.046026,0.751773,0.544643,-0.050063,1,0,0
210,'2026/05/06 10:37:46:926',1,0.655475,0.770232,0,0.603362,0.746094,-0.023881,0.554532,0.714572,-0.040638,0.514101,0.694078,-0.057101,0.479219,0.688078,-0.074671,0.599276,0.608678,-0.021769,0.580787,0.544301,-0.035525,0.570541,0.503145,-0.049055,0.562813,0.467782,-0.059925,0.635617,0.594662,-0.021959,0.634626,0.52349,-0.030158,0.633303,0.480327,-0.039064,0.63271,0.446049,-0.047836,0.669297,0.602629,-0.025476,0.681624,0.541556,-0.034909,0.689455,0.504309,-0.044666,0.695629,0.47309,-0.053179,0.69733,0.62646,-0.031774,0.722627,0.591843,-0.040437,0.738516,0.567739,-0.045383,0.750833,0.544825,-0.049786,1,0,0
211,'2026/05/06 10:37:46:974',1,0.65535,0.771674,0,0.603982,0.746666,-0.023304,0.555545,0.714884,-0.039671,0.51533,0.693956,-0.055983,0.480476,0.687733,-0.073314,0.598547,0.608432,-0.020039,0.580217,0.544385,-0.033593,0.570202,0.503196,-0.046999,0.562617,0.468051,-0.057776,0.635236,0.594789,-0.020565,0.634345,0.523399,-0.028397,0.633192,0.480971,-0.036943,0.63224,0.44795,-0.045395,0.669252,0.603091,-0.024519,0.68175,0.541791,-0.033802,0.689794,0.504922,-0.043186,0.695577,0.474374,-0.051312,0.697475,0.627469,-0.03125,0.723089,0.593154,-0.039776,0.738463,0.569109,-0.04449,0.749583,0.54624,-0.048639,1,0,0
212,'2026/05/06 10:37:47:007',1,0.656223,0.772849,0,0.604193,0.747307,-0.02379,0.555579,0.714227,-0.040612,0.514989,0.692728,-0.057216,0.48015,0.686583,-0.074931,0.599733,0.609738,-0.022127,0.580849,0.544688,-0.03669,0.570195,0.503371,-0.050741,0.562084,0.467785,-0.06189,0.635992,0.595574,-0.022592,0.635408,0.524216,-0.031353,0.633626,0.481445,-0.040469,0.632377,0.447146,-0.049226,0.669637,0.603206,-0.026392,0.682477,0.541564,-0.036194,0.690078,0.5044,-0.045803,0.696027,0.473029,-0.054068,0.697396,0.626987,-0.032997,0.723045,0.592345,-0.041747,0.738939,0.568368,-0.0465,0.751177,0.545687,-0.050664,1,0,0
213,'2026/05/06 10:37:47:040',1,0.655472,0.772202,0,0.602963,0.74735,-0.023136,0.554514,0.714379,-0.038968,0.51337,0.693673,-0.05472,0.478434,0.688571,-0.071565,0.599001,0.608623,-0.019634,0.580553,0.543978,-0.032981,0.570391,0.5029,-0.046138,0.5629,0.467964,-0.056615,0.635414,0.594743,-0.020061,0.634696,0.523842,-0.027577,0.633367,0.480835,-0.036127,0.63259,0.446522,-0.044449,0.669194,0.602811,-0.023906,0.682003,0.542061,-0.032817,0.689455,0.504676,-0.042288,0.695136,0.473036,-0.0504,0.697186,0.626752,-0.030518,0.722917,0.592749,-0.038617,0.738842,0.5687,-0.04319,0.751184,0.545882,-0.047154,1,0,0
214,'2026/05/06 10:37:47:070',1,0.65558,0.771945,0,0.603986,0.747179,-0.023662,0.555184,0.714984,-0.04023,0.514135,0.693871,-0.056525,0.479144,0.687544,-0.073917,0.599276,0.608882,-0.021585,0.580654,0.544542,-0.03561,0.570432,0.503263,-0.049163,0.562731,0.467998,-0.059941,0.635701,0.594702,-0.021926,0.635148,0.522916,-0.030288,0.633956,0.479963,-0.039112,0.633395,0.446047,-0.047628,0.669353,0.602839,-0.025594,0.68216,0.541905,-0.035307,0.690027,0.504755,-0.045066,0.696126,0.473563,-0.053391,0.697132,0.626924,-0.031994,0.722711,0.592932,-0.040768,0.738742,0.569037,-0.045623,0.751151,0.546356,-0.049828,1,0,0
215,'2026/05/06 10:37:47:104',1,0.65605,0.770554,0,0.603494,0.746843,-0.023783,0.554535,0.714385,-0.040413,0.513143,0.693653,-0.056689,0.478001,0.689325,-0.074078,0.599662,0.608576,-0.022475,0.580623,0.544079,-0.036636,0.570436,0.502403,-0.05011,0.562937,0.467352,-0.060782,0.635644,0.594503,-0.022788,0.634441,0.523197,-0.031045,0.633555,0.479412,-0.039792,0.633572,0.444806,-0.04829,0.66899,0.602455,-0.026389,0.681869,0.542223,-0.0358,0.689419,0.505043,-0.045425,0.695188,0.473671,-0.053777,0.696826,0.626549,-0.032777,0.722623,0.592918,-0.041626,0.738609,0.568752,-0.046599,0.751175,0.545706,-0.050848,1,0,0
216,'2026/05/06 10:37:47:143',1,0.656096,0.771789,0,0.604058,0.747451,-0.023806,0.555254,0.71522,-0.040477,0.512994,0.694765,-0.056837,0.477371,0.689543,-0.074308,0.59921,0.609682,-0.022185,0.580699,0.545146,-0.036224,0.570449,0.50355,-0.049584,0.562734,0.468106,-0.060283,0.635382,0.595486,-0.022581,0.634324,0.524646,-0.031021,0.633089,0.480855,-0.040059,0.632904,0.445538,-0.048887,0.668878,0.603481,-0.026263,0.681397,0.542901,-0.03597,0.688912,0.505214,-0.045897,0.694875,0.473009,-0.05453,0.696563,0.627466,-0.032693,0.721931,0.593587,-0.041704,0.738028,0.569533,-0.046832,0.750874,0.546362,-0.051321,1,0,0
217,'2026/05/06 10:37:47:175',1,0.656189,0.772587,0,0.604095,0.747481,-0.023641,0.555422,0.714288,-0.04005,0.513751,0.693806,-0.056303,0.478507,0.688267,-0.073643,0.599244,0.609284,-0.020951,0.580893,0.544542,-0.035109,0.570502,0.503969,-0.048899,0.562704,0.469166,-0.059838,0.635486,0.595471,-0.021462,0.635087,0.524546,-0.02967,0.633395,0.481654,-0.038636,0.632286,0.447096,-0.047337,0.669192,0.603469,-0.025421,0.681668,0.541802,-0.03488,0.688694,0.504826,-0.044473,0.694251,0.473297,-0.052748,0.697208,0.627442,-0.032208,0.722801,0.592839,-0.040806,0.738731,0.568843,-0.045539,0.751219,0.54601,-0.049692,1,0,0
218,'2026/05/06 10:37:47:207',1,0.655543,0.771127,0,0.603452,0.747222,-0.023794,0.55502,0.715258,-0.040504,0.513375,0.694643,-0.056949,0.477841,0.689427,-0.074576,0.599064,0.609542,-0.022101,0.580289,0.545132,-0.036435,0.569966,0.50337,-0.050191,0.56244,0.467709,-0.06111,0.635157,0.595417,-0.022571,0.633753,0.524839,-0.031103,0.632847,0.481424,-0.040234,0.632953,0.446495,-0.049108,0.668737,0.603201,-0.026351,0.680787,0.543141,-0.035923,0.688211,0.505747,-0.045672,0.694157,0.473815,-0.054157,0.696646,0.626807,-0.032922,0.721682,0.59221,-0.041552,0.737824,0.568233,-0.04632,0.75073,0.545539,-0.050546,1,0,0
219,'2026/05/06 10:37:47:237',1,0.65525,0.77178,0,0.603108,0.74703,-0.023494,0.554398,0.714552,-0.039827,0.513928,0.693905,-0.056005,0.479303,0.688531,-0.073349,0.598554,0.609185,-0.02127,0.579942,0.54457,-0.035435,0.569857,0.503096,-0.049121,0.562379,0.467963,-0.059965,0.63508,0.59538,-0.021846,0.63462,0.524517,-0.030172,0.633227,0.481548,-0.039072,0.632407,0.447507,-0.04763,0.668959,0.60323,-0.025813,0.681552,0.542129,-0.035417,0.688698,0.504837,-0.045197,0.694352,0.47354,-0.053552,0.696976,0.627068,-0.032564,0.722241,0.592821,-0.041482,0.738117,0.568744,-0.046522,0.750679,0.546115,-0.050811,1,0,0
220,'2026/05/06 10:37:47:268',1,0.655018,0.770925,0,0.602802,0.746849,-0.02347,0.554313,0.715639,-0.040143,0.514221,0.694704,-0.056559,0.479353,0.687984,-0.07411,0.599165,0.609236,-0.021472,0.58049,0.545478,-0.035197,0.570313,0.50384,-0.048753,0.562997,0.467996,-0.059742,0.635445,0.595351,-0.022009,0.633963,0.524324,-0.030356,0.633134,0.481311,-0.039361,0.633234,0.447171,-0.048262,0.668917,0.603512,-0.025818,0.68124,0.54339,-0.035418,0.689486,0.506391,-0.045181,0.69602,0.475132,-0.053781,0.696776,0.627363,-0.032357,0.721987,0.592759,-0.041287,0.738147,0.56893,-0.046271,0.750921,0.546152,-0.050735,1,0,0
