@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
15,'2026/05/14 11:50:15:919',1,0.75954,0.889241,0,0.564961,0.719835,-0.072814,0.70032,0.682134,-0.015274,0.667113,0.506868,-0.051288,0.740025,0.67125,-0.013381,0.739649,0.487047,-0.034409,0.776579,0.685381,-0.016117,0.772944,0.521145,-0.038965,0.811012,0.715258,-0.022447,0.836394,0.596514,-0.036402,1,0,0
16,'2026/05/14 11:50:15:952',1,0.760087,0.888723,0,0.565125,0.720563,-0.069616,0.699875,0.681993,-0.014553,0.666837,0.505938,-0.048109,0.739421,0.671395,-0.012099,0.740755,0.488258,-0.029152,0.775704,0.68554,-0.014273,0.772972,0.522793,-0.032682,0.809748,0.714844,-0.02015,0.83528,0.596534,-0.030254,1,0,0
17,'2026/05/14 11:50:15:992',1,0.759765,0.888964,0,0.564958,0.719969,-0.072566,0.700064,0.68248,-0.015753,0.66743,0.507336,-0.05178,0.739657,0.671651,-0.013883,0.739938,0.487742,-0.034485,0.776197,0.685349,-0.016613,0.772888,0.521792,-0.038707,0.810726,0.714969,-0.02297,0.835729,0.596348,-0.036178,1,0,0
18,'2026/05/14 11:50:16:031',1,0.759572,0.890196,0,0.563798,0.718574,-0.074318,0.699713,0.683319,-0.01677,0.667387,0.506408,-0.053888,0.739736,0.672143,-0.014786,0.73984,0.487203,-0.037611,0.77653,0.685422,-0.017385,0.773064,0.520717,-0.041798,0.811035,0.714787,-0.023596,0.836179,0.596409,-0.038498,1,0,0
19,'2026/05/14 11:50:16:064',1,0.759678,0.888995,0,0.565162,0.72076,-0.070033,0.700349,0.681999,-0.014345,0.667121,0.507752,-0.049249,0.74003,0.670806,-0.012561,0.739807,0.488773,-0.032404,0.776636,0.684822,-0.01527,0.772957,0.521272,-0.037111,0.811091,0.714827,-0.021518,0.835839,0.597135,-0.034452,1,0,0
20,'2026/05/14 11:50:16:091',1,0.760216,0.890184,0,0.564782,0.720402,-0.071708,0.700596,0.683749,-0.014794,0.667717,0.507539,-0.050102,0.740053,0.673274,-0.013087,0.740686,0.488331,-0.034175,0.776541,0.686995,-0.016008,0.773077,0.522983,-0.038998,0.811191,0.716467,-0.022517,0.836438,0.596558,-0.03597,1,0,0
21,'2026/05/14 11:50:16:126',1,0.760338,0.889469,0,0.565074,0.720718,-0.072118,0.700595,0.683374,-0.015598,0.668795,0.507253,-0.051427,0.740421,0.67225,-0.0139,0.740484,0.48748,-0.036397,0.777011,0.685737,-0.01665,0.773787,0.521342,-0.041167,0.811422,0.715283,-0.022858,0.83701,0.59665,-0.037597,1,0,0
22,'2026/05/14 11:50:16:154',1,0.760736,0.8892,0,0.566805,0.72138,-0.070278,0.701186,0.683221,-0.014647,0.669017,0.507567,-0.048846,0.740882,0.672423,-0.012888,0.740596,0.488412,-0.033332,0.777316,0.686541,-0.01556,0.773858,0.521381,-0.038198,0.811729,0.716511,-0.02171,0.837206,0.597645,-0.035352,1,0,0
23,'2026/05/14 11:50:16:188',1,0.76022,0.889938,0,0.565582,0.721526,-0.070478,0.700609,0.682377,-0.015077,0.668526,0.506825,-0.050291,0.740088,0.672409,-0.013204,0.742167,0.48896,-0.032174,0.776451,0.687217,-0.0159,0.775208,0.523407,-0.035569,0.810547,0.717355,-0.022247,0.83689,0.596969,-0.033182,1,0,0
24,'2026/05/14 11:50:16:218',1,0.759902,0.889396,0,0.566417,0.721531,-0.069947,0.70085,0.682941,-0.014766,0.668205,0.506222,-0.04959,0.740167,0.672674,-0.012537,0.742051,0.488983,-0.03121,0.776473,0.687094,-0.01493,0.774824,0.523365,-0.034448,0.810595,0.716799,-0.020987,0.83642,0.596535,-0.031758,1,0,0
25,'2026/05/14 11:50:16:256',1,0.760972,0.889938,0,0.566204,0.722381,-0.070406,0.701008,0.682061,-0.014711,0.668346,0.507407,-0.04979,0.740696,0.67168,-0.012948,0.741114,0.488809,-0.032288,0.777094,0.686315,-0.015712,0.774801,0.522981,-0.03613,0.811173,0.716458,-0.022085,0.837034,0.596754,-0.03376,1,0,0
26,'2026/05/14 11:50:16:302',1,0.760139,0.890887,0,0.566005,0.720836,-0.069338,0.70078,0.682583,-0.013721,0.668589,0.506378,-0.04814,0.740303,0.67227,-0.012022,0.741266,0.488381,-0.031088,0.776634,0.686765,-0.014941,0.774358,0.521957,-0.035305,0.81074,0.7165,-0.02152,0.836901,0.597101,-0.033351,1,0,0
27,'2026/05/14 11:50:16:328',1,0.760474,0.888377,0,0.566563,0.721357,-0.071689,0.700541,0.682331,-0.015616,0.668518,0.507292,-0.050992,0.740548,0.671991,-0.014037,0.740885,0.487956,-0.03594,0.777146,0.686311,-0.016896,0.774101,0.522079,-0.040987,0.811531,0.716344,-0.023218,0.837231,0.596422,-0.038024,1,0,0
28,'2026/05/14 11:50:16:357',1,0.759958,0.891,0,0.564805,0.719975,-0.071399,0.700815,0.682344,-0.014909,0.66782,0.506683,-0.050297,0.740511,0.671604,-0.013014,0.741176,0.487943,-0.032596,0.776992,0.685766,-0.015797,0.773465,0.522388,-0.037296,0.811318,0.715753,-0.022223,0.836409,0.596593,-0.035416,1,0,0
29,'2026/05/14 11:50:16:390',1,0.760477,0.889929,0,0.565949,0.721203,-0.071602,0.700653,0.682402,-0.016272,0.667956,0.505754,-0.050889,0.740004,0.672221,-0.013875,0.741537,0.488635,-0.031728,0.776348,0.686648,-0.016121,0.774493,0.523293,-0.035143,0.810474,0.716455,-0.02209,0.836224,0.596728,-0.033123,1,0,0
30,'2026/05/14 11:50:16:425',1,0.759611,0.889693,0,0.565081,0.719443,-0.071426,0.700935,0.682749,-0.014735,0.668621,0.507014,-0.04966,0.740365,0.672179,-0.012744,0.741135,0.487737,-0.032406,0.776616,0.686163,-0.015448,0.773512,0.522212,-0.037389,0.810828,0.715803,-0.02179,0.836304,0.596507,-0.035051,1,0,0
31,'2026/05/14 11:50:16:452',1,0.760426,0.88881,0,0.566319,0.72085,-0.069873,0.701089,0.681839,-0.013906,0.668194,0.506983,-0.048835,0.740684,0.671282,-0.011994,0.741001,0.488791,-0.030599,0.777057,0.68587,-0.014745,0.77406,0.521838,-0.03499,0.811126,0.715947,-0.021135,0.836604,0.596366,-0.033121,1,0,0
32,'2026/05/14 11:50:16:483',1,0.760539,0.888974,0,0.56567,0.720039,-0.070738,0.701234,0.682776,-0.014092,0.668505,0.507463,-0.049209,0.740853,0.671936,-0.012234,0.741044,0.487544,-0.032892,0.777262,0.685881,-0.014946,0.773798,0.521837,-0.03763,0.811697,0.715569,-0.021184,0.836528,0.596527,-0.034377,1,0,0
33,'2026/05/14 11:50:16:514',1,0.759639,0.889723,0,0.566313,0.720685,-0.070908,0.701125,0.681695,-0.015375,0.668686,0.505866,-0.05032,0.740676,0.671338,-0.013328,0.741893,0.488322,-0.032089,0.77692,0.685822,-0.01585,0.774623,0.522485,-0.035434,0.810993,0.71588,-0.022036,0.836312,0.596616,-0.032876,1,0,0
34,'2026/05/14 11:50:16:552',1,0.76089,0.889161,0,0.567209,0.720189,-0.071066,0.701675,0.682981,-0.015447,0.669315,0.507147,-0.050616,0.74124,0.6717,-0.013556,0.741299,0.488433,-0.034479,0.777712,0.6854,-0.016107,0.774001,0.520819,-0.038999,0.812209,0.715327,-0.02219,0.8371,0.597633,-0.036208,1,0,0
35,'2026/05/14 11:50:16:577',1,0.760078,0.889,0,0.567424,0.720699,-0.070645,0.701516,0.682472,-0.015602,0.669098,0.507076,-0.050594,0.740997,0.672098,-0.01331,0.742482,0.489456,-0.031336,0.777204,0.686428,-0.015583,0.775534,0.522899,-0.034031,0.811052,0.716295,-0.021583,0.836668,0.596532,-0.031893,1,0,0
36,'2026/05/14 11:50:16:608',1,0.76039,0.889675,0,0.567456,0.721243,-0.067407,0.70096,0.68185,-0.01299,0.668561,0.507704,-0.046098,0.740549,0.671224,-0.011014,0.742156,0.490356,-0.028207,0.77678,0.685992,-0.013632,0.774637,0.522718,-0.032909,0.81063,0.716262,-0.019835,0.836444,0.597417,-0.031193,1,0,0
37,'2026/05/14 11:50:16:640',1,0.760411,0.88904,0,0.567446,0.720815,-0.071917,0.701382,0.682987,-0.016625,0.669267,0.507403,-0.053198,0.740647,0.672848,-0.014818,0.741806,0.489376,-0.035264,0.776891,0.687329,-0.017509,0.77482,0.522339,-0.03846,0.810866,0.717405,-0.023838,0.83672,0.597144,-0.036583,1,0,0
38,'2026/05/14 11:50:16:674',1,0.760702,0.889436,0,0.567961,0.721143,-0.067341,0.701743,0.681296,-0.01303,0.668627,0.506255,-0.044752,0.741306,0.670725,-0.011,0.741817,0.489941,-0.027639,0.777463,0.685424,-0.013473,0.774227,0.521216,-0.033093,0.81133,0.715353,-0.019493,0.836189,0.597922,-0.031074,1,0,0
39,'2026/05/14 11:50:16:703',1,0.760088,0.888691,0,0.56801,0.721779,-0.069507,0.701276,0.681607,-0.014247,0.668112,0.506954,-0.049328,0.740804,0.671578,-0.013085,0.741601,0.489623,-0.033377,0.776854,0.686871,-0.016352,0.774469,0.521391,-0.038184,0.81043,0.717897,-0.023073,0.83642,0.598216,-0.035891,1,0,0
40,'2026/05/14 11:50:16:745',1,0.761056,0.889115,0,0.566947,0.720466,-0.072126,0.701104,0.683118,-0.015806,0.668941,0.507254,-0.051167,0.740845,0.672225,-0.013403,0.741249,0.488294,-0.033115,0.777483,0.685845,-0.015637,0.774017,0.523241,-0.03715,0.812032,0.715033,-0.021551,0.836278,0.596771,-0.034322,1,0,0
41,'2026/05/14 11:50:16:786',1,0.760401,0.889309,0,0.565717,0.719702,-0.071265,0.701125,0.682796,-0.015468,0.668567,0.506494,-0.050529,0.740564,0.671994,-0.013307,0.741569,0.488266,-0.032325,0.776824,0.685617,-0.015722,0.774518,0.524187,-0.036036,0.810811,0.714819,-0.021765,0.836065,0.596779,-0.033324,1,0,0
42,'2026/05/14 11:50:16:815',1,0.760804,0.889321,0,0.566538,0.718941,-0.072641,0.701171,0.682943,-0.016059,0.669232,0.506734,-0.052187,0.740784,0.6723,-0.013963,0.740765,0.48753,-0.034867,0.77727,0.686088,-0.016455,0.774137,0.522044,-0.038865,0.811533,0.715517,-0.022572,0.836256,0.596976,-0.036023,1,0,0
43,'2026/05/14 11:50:16:844',1,0.760329,0.889916,0,0.566289,0.719013,-0.070998,0.701389,0.681753,-0.015009,0.668648,0.506174,-0.049413,0.741105,0.671545,-0.012794,0.741987,0.488458,-0.031608,0.777433,0.685955,-0.015237,0.774828,0.522835,-0.035857,0.81159,0.715716,-0.021355,0.836088,0.596043,-0.033574,1,0,0
44,'2026/05/14 11:50:16:875',1,0.759543,0.888638,0,0.567985,0.721668,-0.069226,0.701466,0.681273,-0.014353,0.669298,0.505654,-0.049369,0.74045,0.671321,-0.012763,0.742496,0.488988,-0.031345,0.776535,0.686483,-0.01568,0.775186,0.522412,-0.034371,0.81065,0.717299,-0.022189,0.836677,0.596413,-0.032339,1,0,0
45,'2026/05/14 11:50:16:909',1,0.761722,0.888613,0,0.567339,0.719965,-0.068336,0.700637,0.681991,-0.014072,0.668938,0.505332,-0.046726,0.74021,0.671952,-0.011636,0.74241,0.488321,-0.027969,0.776379,0.68666,-0.013866,0.774726,0.523547,-0.032225,0.810403,0.716411,-0.019746,0.83664,0.596283,-0.029964,1,0,0
46,'2026/05/14 11:50:16:941',1,0.760983,0.889569,0,0.566804,0.719942,-0.072471,0.701619,0.68189,-0.016446,0.669674,0.506763,-0.05234,0.741254,0.671448,-0.014502,0.741639,0.487963,-0.035597,0.777694,0.685591,-0.017085,0.774841,0.522451,-0.040051,0.812068,0.715524,-0.023258,0.836455,0.596526,-0.037083,1,0,0
47,'2026/05/14 11:50:16:970',1,0.760015,0.891036,0,0.566137,0.719053,-0.071366,0.701641,0.68174,-0.014922,0.669705,0.506077,-0.050358,0.741528,0.671413,-0.013336,0.741315,0.487589,-0.034661,0.777954,0.686089,-0.01622,0.775125,0.521245,-0.039252,0.812088,0.716887,-0.022625,0.837251,0.596851,-0.036771,1,0,0
48,'2026/05/14 11:50:17:001',1,0.760498,0.890521,0,0.566716,0.720157,-0.071375,0.701644,0.681682,-0.01524,0.669558,0.505763,-0.049881,0.741439,0.671473,-0.012976,0.742857,0.488098,-0.032038,0.77778,0.686084,-0.015294,0.775714,0.522321,-0.035999,0.81185,0.716136,-0.021264,0.837335,0.596998,-0.033177,1,0,0
49,'2026/05/14 11:50:17:032',1,0.760774,0.889634,0,0.56696,0.719223,-0.071994,0.701771,0.682027,-0.016015,0.669742,0.505422,-0.050863,0.741514,0.672349,-0.013689,0.744137,0.488689,-0.032301,0.777786,0.68683,-0.016032,0.776513,0.523515,-0.03607,0.811841,0.716441,-0.022086,0.837807,0.596545,-0.033621,1,0,0
50,'2026/05/14 11:50:17:063',1,0.761111,0.888929,0,0.567462,0.719635,-0.070903,0.702238,0.681976,-0.015528,0.66999,0.506329,-0.050115,0.741838,0.671823,-0.013247,0.743603,0.488601,-0.03192,0.778164,0.686444,-0.015524,0.776274,0.523051,-0.036214,0.812187,0.716577,-0.021392,0.83796,0.596832,-0.033431,1,0,0
51,'2026/05/14 11:50:17:095',1,0.760916,0.889063,0,0.567823,0.719147,-0.070241,0.701973,0.681484,-0.014783,0.670312,0.50566,-0.048993,0.741718,0.671501,-0.012653,0.743782,0.488544,-0.030768,0.778038,0.686543,-0.015118,0.776134,0.522525,-0.034374,0.811969,0.717,-0.021242,0.837617,0.596607,-0.032408,1,0,0
52,'2026/05/14 11:50:17:124',1,0.760615,0.889938,0,0.567643,0.718481,-0.070439,0.702553,0.681669,-0.0149,0.670923,0.50585,-0.049627,0.741981,0.671128,-0.01301,0.742999,0.487479,-0.032139,0.778327,0.685393,-0.015684,0.775744,0.522514,-0.036701,0.812591,0.715401,-0.021973,0.837546,0.597103,-0.034373,1,0,0
