@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute outputs-1 {0,1,2}

@data
1015,'2026/04/25 17:23:40:911',2,0.057021,0.012339,0.001835,0.001105,0.005804,0.001309,0.000606,0.001689,0.001263,0.001588,0.002028,0.000965,1
1016,'2026/04/25 17:23:40:946',2,0.056713,0.011839,0.00194,0.001027,0.005336,0.001257,0.000584,0.001566,0.001201,0.001499,0.002043,0.001045,1
1017,'2026/04/25 17:23:40:993',2,0.056012,0.012015,0.001924,0.000991,0.005404,0.001371,0.00067,0.001492,0.001205,0.001501,0.002159,0.001066,1
1018,'2026/04/25 17:23:41:025',2,0.055784,0.012568,0.002025,0.000926,0.005514,0.001429,0.0007,0.001561,0.001228,0.001581,0.002251,0.001025,1
1019,'2026/04/25 17:23:41:054',2,0.055861,0.013941,0.002097,0.000893,0.005754,0.001371,0.000721,0.001644,0.001222,0.001621,0.002176,0.001119,1
1020,'2026/04/25 17:23:41:089',2,0.055163,0.014791,0.002168,0.000899,0.005564,0.001333,0.000725,0.00153,0.001224,0.001643,0.002145,0.001118,1
1021,'2026/04/25 17:23:41:122',2,0.055972,0.015183,0.002295,0.000856,0.00607,0.001371,0.000726,0.001589,0.001213,0.001812,0.00237,0.001154,1
1022,'2026/04/25 17:23:41:154',2,0.055451,0.014554,0.002241,0.000908,0.005832,0.001322,0.000681,0.00145,0.00108,0.001696,0.002237,0.001274,1
1023,'2026/04/25 17:23:41:187',2,0.055649,0.013283,0.002123,0.000961,0.005906,0.001372,0.000733,0.001466,0.001,0.00168,0.002172,0.001203,1
1024,'2026/04/25 17:23:41:228',2,0.056356,0.012142,0.002232,0.001003,0.006047,0.001426,0.000781,0.001577,0.000995,0.001586,0.001958,0.001343,1
1025,'2026/04/25 17:23:41:272',2,0.055228,0.011396,0.002314,0.001059,0.006068,0.001588,0.000809,0.001687,0.001121,0.001676,0.001813,0.001286,1
1026,'2026/04/25 17:23:41:305',2,0.053884,0.010613,0.002748,0.00108,0.006246,0.001709,0.000802,0.001683,0.00122,0.001858,0.001886,0.001306,1
1027,'2026/04/25 17:23:41:339',2,0.051532,0.010634,0.003552,0.001014,0.0061,0.001651,0.000794,0.001649,0.001187,0.001845,0.001819,0.001211,1
1028,'2026/04/25 17:23:41:373',2,0.050449,0.01015,0.00398,0.001026,0.005886,0.001676,0.00082,0.001546,0.001126,0.001834,0.001758,0.001292,1
1029,'2026/04/25 17:23:41:405',2,0.049376,0.009343,0.00389,0.000968,0.005706,0.001529,0.000829,0.001584,0.001115,0.001937,0.001669,0.001255,1
1030,'2026/04/25 17:23:41:438',2,0.048651,0.008506,0.003454,0.000922,0.005626,0.001441,0.00082,0.001584,0.001067,0.002064,0.001617,0.001162,1
1031,'2026/04/25 17:23:41:473',2,0.04861,0.007987,0.002929,0.000893,0.004939,0.001442,0.000891,0.001425,0.000965,0.001859,0.001633,0.001097,1
1032,'2026/04/25 17:23:41:509',2,0.047585,0.008396,0.002717,0.000889,0.005327,0.00148,0.000814,0.001356,0.000919,0.001974,0.001502,0.001194,1
1033,'2026/04/25 17:23:41:555',2,0.049592,0.010198,0.003117,0.001019,0.006205,0.001703,0.000945,0.001375,0.00089,0.001988,0.001219,0.001018,1
1034,'2026/04/25 17:23:41:588',2,0.05139,0.010878,0.003019,0.00098,0.006121,0.001884,0.000875,0.001251,0.000851,0.002109,0.001108,0.000909,1
1035,'2026/04/25 17:23:41:623',2,0.053012,0.011636,0.003165,0.000888,0.005826,0.002043,0.0008,0.001053,0.00079,0.002264,0.001024,0.000771,1
1036,'2026/04/25 17:23:41:655',2,0.054685,0.011852,0.003369,0.000918,0.006164,0.002245,0.00073,0.001065,0.000887,0.002264,0.000967,0.000746,1
1037,'2026/04/25 17:23:41:692',2,0.055769,0.011923,0.0032,0.000968,0.005693,0.002328,0.000735,0.000998,0.000871,0.002322,0.000866,0.000655,1
1038,'2026/04/25 17:23:41:728',2,0.055921,0.011255,0.002826,0.001034,0.0055,0.002288,0.000717,0.001034,0.000824,0.002625,0.000859,0.000636,1
1039,'2026/04/25 17:23:41:760',2,0.05667,0.010949,0.00258,0.000958,0.005211,0.002428,0.000705,0.001048,0.000817,0.002621,0.00084,0.000693,1
1040,'2026/04/25 17:23:41:794',2,0.055974,0.009615,0.002706,0.000927,0.004749,0.002589,0.00068,0.001072,0.000921,0.003039,0.000797,0.000688,1
1041,'2026/04/25 17:23:41:828',2,0.053364,0.008313,0.003055,0.001084,0.004858,0.002429,0.00074,0.001062,0.000944,0.002891,0.000745,0.000653,1
1042,'2026/04/25 17:23:41:860',2,0.049896,0.00853,0.003703,0.001146,0.005692,0.002457,0.000756,0.001127,0.000942,0.002928,0.000857,0.000782,1
1043,'2026/04/25 17:23:41:894',2,0.047871,0.008574,0.003674,0.001109,0.006562,0.002489,0.000842,0.001179,0.000911,0.003033,0.000972,0.000917,1
1044,'2026/04/25 17:23:41:925',2,0.049197,0.008636,0.003656,0.001205,0.006752,0.002572,0.000848,0.001218,0.000867,0.003036,0.001103,0.001071,1
1045,'2026/04/25 17:23:41:962',2,0.051852,0.009106,0.003631,0.001447,0.006906,0.002671,0.000799,0.001285,0.000843,0.003016,0.001175,0.001162,1
1046,'2026/04/25 17:23:41:994',2,0.05352,0.009784,0.003591,0.001564,0.006843,0.00282,0.000786,0.001305,0.000897,0.003003,0.001173,0.001197,1
1047,'2026/04/25 17:23:42:026',2,0.05358,0.00942,0.003388,0.001524,0.006379,0.002795,0.000751,0.001299,0.00087,0.002878,0.00114,0.001205,1
1048,'2026/04/25 17:23:42:060',2,0.053398,0.008929,0.003392,0.001497,0.006448,0.002886,0.000722,0.001444,0.000897,0.002716,0.001125,0.001222,1
1049,'2026/04/25 17:23:42:094',2,0.053884,0.008518,0.003189,0.001426,0.006618,0.002704,0.000767,0.001489,0.000858,0.002739,0.001079,0.00121,1
1050,'2026/04/25 17:23:42:128',2,0.04966,0.008555,0.004199,0.002432,0.006738,0.003355,0.001508,0.001748,0.00113,0.002961,0.001348,0.001352,1
1051,'2026/04/25 17:23:42:160',2,0.041384,0.00742,0.003725,0.002136,0.005575,0.002796,0.00128,0.001454,0.000991,0.002464,0.001128,0.001139,1
1052,'2026/04/25 17:23:50:574',3,0.003136,0.003682,0.001604,0.001605,0.001347,0.001178,0.00143,0.000393,0.000959,0.001256,0.001339,0.000504,2
1053,'2026/04/25 17:23:50:607',3,0.002838,0.003206,0.001434,0.001357,0.001244,0.000982,0.001154,0.000328,0.000779,0.00102,0.001124,0.000442,2
1054,'2026/04/25 17:23:50:640',3,0.002526,0.002701,0.00121,0.001123,0.001105,0.000803,0.000917,0.000274,0.000621,0.000811,0.000928,0.000375,2
1055,'2026/04/25 17:23:50:674',3,0.002503,0.00224,0.001011,0.000902,0.000991,0.000669,0.000726,0.000234,0.000496,0.00064,0.000784,0.000316,2
1056,'2026/04/25 17:23:50:706',3,0.002398,0.001821,0.000848,0.000723,0.000847,0.000549,0.000572,0.000203,0.000399,0.000521,0.00066,0.000278,2
1057,'2026/04/25 17:23:50:739',3,0.002252,0.001644,0.000764,0.000648,0.000776,0.000493,0.000512,0.000189,0.000358,0.000467,0.000604,0.000259,2
1058,'2026/04/25 17:23:50:770',3,0.00201,0.001373,0.000644,0.000522,0.000666,0.000394,0.000409,0.000164,0.000299,0.000382,0.000513,0.000231,2
1059,'2026/04/25 17:23:50:815',3,0.001803,0.001078,0.000498,0.0004,0.000536,0.000287,0.000287,0.000133,0.000241,0.00029,0.000401,0.000199,2
1060,'2026/04/25 17:23:50:848',3,0.001694,0.000909,0.000431,0.000331,0.000451,0.000236,0.000232,0.000119,0.000205,0.000249,0.000339,0.000174,2
1061,'2026/04/25 17:23:50:882',3,0.001655,0.000782,0.000375,0.000278,0.000371,0.000197,0.000192,0.000108,0.000178,0.000219,0.000298,0.000156,2
1062,'2026/04/25 17:23:50:914',3,0.001589,0.000684,0.000331,0.000241,0.000307,0.000168,0.000164,0.0001,0.000159,0.000199,0.000268,0.000144,2
1063,'2026/04/25 17:23:50:949',3,0.0016,0.000607,0.000303,0.000214,0.000256,0.000149,0.000141,0.000095,0.000144,0.000186,0.000241,0.000136,2
1064,'2026/04/25 17:23:50:981',3,0.001577,0.000554,0.000285,0.000192,0.000215,0.000132,0.000123,0.000091,0.000133,0.00017,0.00022,0.000126,2
1065,'2026/04/25 17:23:51:018',3,0.00154,0.000501,0.000258,0.000175,0.000187,0.00012,0.000116,0.00009,0.000127,0.000163,0.000207,0.00012,2
1066,'2026/04/25 17:23:51:068',3,0.001503,0.000456,0.000237,0.000152,0.000164,0.000108,0.000105,0.00009,0.00012,0.000154,0.000194,0.000109,2
1067,'2026/04/25 17:23:51:114',3,0.001434,0.000426,0.000225,0.000149,0.00015,0.0001,0.000093,0.000088,0.000115,0.000147,0.000187,0.000108,2
1068,'2026/04/25 17:23:51:148',3,0.001425,0.00041,0.000214,0.000142,0.000141,0.000098,0.00009,0.000089,0.000112,0.000147,0.000182,0.000105,2
1069,'2026/04/25 17:23:51:182',3,0.001398,0.000408,0.000204,0.000142,0.000147,0.000107,0.000096,0.000091,0.00011,0.000154,0.000194,0.000112,2
1070,'2026/04/25 17:23:51:213',3,0.001381,0.000401,0.000202,0.000144,0.00015,0.000116,0.000108,0.000097,0.00011,0.000157,0.0002,0.000116,2
1071,'2026/04/25 17:23:51:248',3,0.001353,0.000393,0.0002,0.000142,0.000146,0.000115,0.000114,0.000099,0.00011,0.000155,0.000196,0.00011,2
1072,'2026/04/25 17:23:51:282',3,0.001431,0.000389,0.000198,0.000138,0.00014,0.000109,0.00011,0.0001,0.000109,0.000156,0.000188,0.000109,2
1073,'2026/04/25 17:23:51:315',3,0.001418,0.000384,0.000196,0.000137,0.000139,0.000104,0.000107,0.0001,0.000109,0.000156,0.000182,0.000111,2
1074,'2026/04/25 17:23:51:348',3,0.001397,0.000367,0.000205,0.000138,0.000136,0.0001,0.000099,0.000099,0.000109,0.000154,0.000176,0.000109,2
1075,'2026/04/25 17:23:51:382',3,0.001303,0.000356,0.000199,0.000135,0.000133,0.000097,0.000096,0.000097,0.00011,0.00015,0.000174,0.000105,2
1076,'2026/04/25 17:23:51:417',3,0.001273,0.000354,0.000198,0.000132,0.000139,0.000091,0.00009,0.000092,0.000108,0.000146,0.000169,0.000101,2
1077,'2026/04/25 17:23:51:464',3,0.00132,0.000342,0.000199,0.000131,0.000124,0.000088,0.000086,0.00009,0.000108,0.000147,0.000169,0.000098,2
1078,'2026/04/25 17:23:51:498',3,0.001285,0.000348,0.000198,0.000138,0.000124,0.000089,0.000083,0.000089,0.000109,0.000149,0.000167,0.000096,2
1079,'2026/04/25 17:23:51:531',3,0.010623,0.004384,0.000572,0.000691,0.000283,0.000177,0.000088,0.00036,0.000252,0.000251,0.000239,0.000136,2
1080,'2026/04/25 17:23:51:567',3,0.030765,0.008849,0.001143,0.002033,0.000806,0.000478,0.000128,0.000837,0.000732,0.000488,0.00051,0.000218,2
1081,'2026/04/25 17:23:51:599',3,0.051839,0.010059,0.001373,0.002759,0.00179,0.001017,0.000342,0.001356,0.001396,0.001148,0.00094,0.000528,2
1082,'2026/04/25 17:23:51:633',3,0.074618,0.009845,0.001588,0.003299,0.002266,0.001377,0.000423,0.001725,0.001925,0.001552,0.001307,0.000762,2
1083,'2026/04/25 17:23:51:665',3,0.087518,0.009442,0.001597,0.003582,0.002316,0.001553,0.000462,0.00168,0.002,0.001479,0.001234,0.000799,2
1084,'2026/04/25 17:23:51:698',3,0.092228,0.009546,0.001532,0.003523,0.002262,0.001678,0.000497,0.001819,0.002112,0.001426,0.001141,0.000788,2
1085,'2026/04/25 17:23:51:732',3,0.097033,0.009544,0.001552,0.003821,0.002382,0.001752,0.00054,0.001764,0.002205,0.001309,0.001137,0.000921,2
1086,'2026/04/25 17:23:51:765',3,0.097792,0.008486,0.001569,0.004028,0.002162,0.001853,0.00053,0.001811,0.002083,0.001374,0.001205,0.001012,2
1087,'2026/04/25 17:23:51:798',3,0.105895,0.009613,0.0017,0.004179,0.002155,0.001824,0.000584,0.00202,0.002114,0.001845,0.001286,0.001143,2
1088,'2026/04/25 17:23:51:831',3,0.110801,0.009533,0.001691,0.004312,0.001978,0.001843,0.000562,0.001838,0.002177,0.001786,0.001213,0.001314,2
1089,'2026/04/25 17:23:51:864',3,0.117055,0.009765,0.001782,0.004348,0.001837,0.00217,0.000529,0.001869,0.002153,0.002242,0.001273,0.001844,2
1090,'2026/04/25 17:23:51:914',3,0.123074,0.009727,0.001791,0.004814,0.001608,0.002326,0.000491,0.001741,0.002039,0.002179,0.001515,0.002965,2
1091,'2026/04/25 17:23:51:947',3,0.121946,0.009337,0.001968,0.005487,0.001573,0.002248,0.000436,0.001917,0.002057,0.002352,0.001403,0.002894,2
1092,'2026/04/25 17:23:51:984',3,0.119137,0.008652,0.002062,0.005628,0.00161,0.002044,0.000398,0.001808,0.002192,0.002337,0.001328,0.003072,2
1093,'2026/04/25 17:23:52:015',3,0.112906,0.008495,0.001947,0.005381,0.001575,0.002066,0.000406,0.001791,0.002165,0.002328,0.001359,0.002634,2
1094,'2026/04/25 17:23:52:050',3,0.103585,0.007893,0.001814,0.005205,0.001737,0.0019,0.000396,0.001595,0.001932,0.002464,0.001649,0.002502,2
1095,'2026/04/25 17:23:52:082',3,0.096692,0.00723,0.001666,0.005193,0.001992,0.001719,0.000404,0.001419,0.001775,0.002523,0.001896,0.002316,2
1096,'2026/04/25 17:23:52:133',3,0.087603,0.006632,0.001466,0.006002,0.002212,0.001725,0.000377,0.001387,0.001944,0.002557,0.002012,0.002106,2
1097,'2026/04/25 17:23:52:164',3,0.086507,0.006311,0.00141,0.005387,0.002617,0.001988,0.000372,0.001483,0.001956,0.002608,0.002166,0.002095,2
1098,'2026/04/25 17:23:52:206',3,0.085116,0.007165,0.001551,0.005319,0.00311,0.001836,0.000348,0.001579,0.001823,0.002523,0.002709,0.001933,2
1099,'2026/04/25 17:23:52:253',3,0.087958,0.007243,0.001506,0.006059,0.003095,0.001747,0.00031,0.00176,0.001937,0.002818,0.003152,0.001777,2
1100,'2026/04/25 17:23:52:287',3,0.088144,0.007135,0.001422,0.005977,0.003015,0.001753,0.000287,0.001903,0.002028,0.002998,0.003473,0.0016,2
1101,'2026/04/25 17:23:52:321',3,0.085437,0.007079,0.001268,0.005406,0.002917,0.002023,0.000271,0.001836,0.001893,0.002916,0.003448,0.001485,2
1102,'2026/04/25 17:23:52:354',3,0.081304,0.006749,0.001241,0.005601,0.002818,0.001912,0.000267,0.001975,0.001829,0.002677,0.003316,0.001393,2
1103,'2026/04/25 17:23:52:387',3,0.078041,0.006486,0.001138,0.006187,0.002881,0.001947,0.000263,0.002034,0.001989,0.002535,0.003199,0.001298,2
1104,'2026/04/25 17:23:52:420',3,0.074948,0.005821,0.001181,0.00621,0.002847,0.001929,0.000268,0.00205,0.002002,0.002323,0.003391,0.001224,2
1105,'2026/04/25 17:23:52:454',3,0.07172,0.00547,0.001151,0.005762,0.002847,0.001898,0.000278,0.001835,0.0019,0.002372,0.00361,0.001144,2
1106,'2026/04/25 17:23:52:487',3,0.067654,0.004858,0.001014,0.004865,0.002822,0.001766,0.000264,0.001795,0.001655,0.00232,0.003381,0.001118,2
1107,'2026/04/25 17:23:52:520',3,0.066077,0.004327,0.00099,0.004383,0.002808,0.001686,0.000269,0.002109,0.00162,0.002211,0.003445,0.001041,2
1108,'2026/04/25 17:23:52:553',3,0.063931,0.004367,0.000917,0.004216,0.003039,0.00162,0.000258,0.002091,0.001476,0.002091,0.003377,0.00087,2
1109,'2026/04/25 17:23:52:587',3,0.063724,0.004588,0.000878,0.004465,0.002775,0.001618,0.000238,0.002058,0.00146,0.001906,0.003322,0.000839,2
1110,'2026/04/25 17:23:52:620',3,0.063765,0.004798,0.000915,0.004357,0.00258,0.001599,0.000229,0.001943,0.001405,0.001695,0.003137,0.000813,2
1111,'2026/04/25 17:23:52:654',3,0.062367,0.004869,0.000991,0.004334,0.002414,0.001625,0.000229,0.001791,0.001257,0.001689,0.002899,0.000814,2
1112,'2026/04/25 17:23:52:689',3,0.060917,0.004935,0.001041,0.004057,0.002252,0.001585,0.000229,0.00158,0.001143,0.001768,0.002825,0.00086,2
1113,'2026/04/25 17:23:52:720',3,0.059465,0.005234,0.000949,0.004203,0.002128,0.001613,0.000234,0.001485,0.001148,0.001696,0.002754,0.000846,2
1114,'2026/04/25 17:23:52:753',3,0.05906,0.005374,0.000903,0.004319,0.002113,0.001578,0.000221,0.001352,0.001147,0.001692,0.002418,0.000767,2
1115,'2026/04/25 17:23:52:802',3,0.058724,0.005404,0.000794,0.004648,0.002101,0.001602,0.000219,0.00128,0.001091,0.001664,0.002381,0.000717,2
1116,'2026/04/25 17:23:52:845',3,0.058356,0.004411,0.000748,0.004264,0.001989,0.001521,0.000222,0.001132,0.001003,0.001587,0.002152,0.000661,2
1117,'2026/04/25 17:23:52:878',3,0.056798,0.00409,0.000726,0.003892,0.001812,0.001511,0.000214,0.001043,0.000968,0.001526,0.001938,0.000641,2
1118,'2026/04/25 17:23:52:911',3,0.055805,0.004035,0.000651,0.005019,0.001625,0.001541,0.00021,0.000977,0.000923,0.001679,0.001761,0.000564,2
1119,'2026/04/25 17:23:52:942',3,0.05533,0.004175,0.00067,0.004963,0.001537,0.00166,0.000235,0.000942,0.00091,0.001653,0.001746,0.000524,2
1120,'2026/04/25 17:23:52:985',3,0.055002,0.004363,0.000653,0.005394,0.001335,0.00172,0.000241,0.000996,0.000886,0.001465,0.001571,0.000465,2
1121,'2026/04/25 17:23:53:018',3,0.055381,0.00411,0.000597,0.005101,0.001231,0.001669,0.000228,0.001003,0.000856,0.001299,0.001454,0.000437,2
1122,'2026/04/25 17:23:53:051',3,0.055773,0.003757,0.000554,0.004973,0.00122,0.001594,0.000236,0.00108,0.000843,0.001288,0.001408,0.000417,2
1123,'2026/04/25 17:23:53:085',3,0.054892,0.003527,0.000522,0.005256,0.00117,0.001684,0.00023,0.001114,0.000796,0.001334,0.001393,0.000432,2
1124,'2026/04/25 17:23:53:119',3,0.055711,0.003612,0.000497,0.004465,0.001292,0.001902,0.000214,0.001222,0.000783,0.001241,0.001537,0.000435,2
1125,'2026/04/25 17:23:53:162',3,0.055097,0.003771,0.000499,0.003972,0.001183,0.001819,0.000211,0.0011,0.000777,0.001214,0.001519,0.000418,2
1126,'2026/04/25 17:23:53:204',3,0.055706,0.004096,0.000517,0.004094,0.001036,0.001549,0.000213,0.001172,0.000767,0.001298,0.001488,0.000387,2
1127,'2026/04/25 17:23:53:237',3,0.055352,0.004191,0.00057,0.003931,0.001115,0.001552,0.00022,0.001134,0.000732,0.001331,0.001387,0.00038,2
1128,'2026/04/25 17:23:53:271',3,0.055631,0.004349,0.000604,0.003662,0.001138,0.001529,0.000216,0.001086,0.000706,0.001315,0.001311,0.000359,2
1129,'2026/04/25 17:23:53:306',3,0.05434,0.003778,0.000601,0.003936,0.001076,0.001346,0.000215,0.001079,0.000756,0.001195,0.001259,0.000312,2
1130,'2026/04/25 17:23:53:337',3,0.053049,0.003946,0.000542,0.00418,0.001045,0.001318,0.000206,0.001094,0.000767,0.001294,0.001313,0.000327,2
1131,'2026/04/25 17:23:53:371',3,0.052714,0.003756,0.000502,0.00493,0.00102,0.001235,0.000216,0.001168,0.000856,0.001471,0.001354,0.000358,2
1132,'2026/04/25 17:23:53:405',3,0.053403,0.003456,0.000496,0.004719,0.001001,0.001221,0.000223,0.001261,0.000817,0.001689,0.001504,0.000352,2
1133,'2026/04/25 17:23:53:438',3,0.052573,0.003084,0.000505,0.004961,0.001184,0.001293,0.000252,0.001123,0.000842,0.001752,0.001385,0.000333,2
1134,'2026/04/25 17:23:53:471',3,0.052781,0.002945,0.000519,0.005196,0.001147,0.001264,0.000304,0.001054,0.000889,0.00173,0.00139,0.000345,2
1135,'2026/04/25 17:23:53:505',3,0.054087,0.003119,0.000541,0.005075,0.00111,0.001247,0.000306,0.001088,0.00093,0.001904,0.001488,0.000366,2
1136,'2026/04/25 17:23:53:539',3,0.05464,0.003232,0.000543,0.00506,0.001166,0.00123,0.000278,0.001165,0.000863,0.00202,0.001495,0.000379,2
1137,'2026/04/25 17:23:53:572',3,0.054389,0.003383,0.000529,0.005099,0.001253,0.001168,0.000274,0.00131,0.000873,0.001855,0.001511,0.000372,2
1138,'2026/04/25 17:23:53:605',3,0.054347,0.003621,0.000619,0.004776,0.001202,0.001231,0.000281,0.00136,0.001009,0.001996,0.001437,0.000394,2
1139,'2026/04/25 17:23:53:639',3,0.053765,0.003543,0.000653,0.004742,0.001404,0.001333,0.000308,0.001355,0.001009,0.00207,0.001461,0.0004,2
1140,'2026/04/25 17:23:53:672',3,0.053347,0.003505,0.00064,0.004909,0.001374,0.001407,0.000305,0.001387,0.001064,0.002054,0.001381,0.000405,2
1141,'2026/04/25 17:23:53:705',3,0.05347,0.003445,0.000667,0.004862,0.001344,0.001391,0.000289,0.001286,0.001111,0.002025,0.001394,0.000373,2
1142,'2026/04/25 17:23:53:738',3,0.053495,0.003592,0.000747,0.004764,0.001305,0.001495,0.000326,0.001311,0.001055,0.001975,0.001368,0.000372,2
1143,'2026/04/25 17:23:53:774',3,0.053732,0.003513,0.000708,0.004509,0.001297,0.001467,0.000344,0.001298,0.001057,0.002052,0.001296,0.000355,2
1144,'2026/04/25 17:23:53:810',3,0.053989,0.003337,0.000681,0.004362,0.001175,0.001662,0.00038,0.001283,0.000988,0.002104,0.001146,0.000365,2
1145,'2026/04/25 17:23:53:843',3,0.054325,0.003214,0.000656,0.003834,0.001042,0.001655,0.000433,0.001479,0.001226,0.002272,0.001182,0.000354,2
1146,'2026/04/25 17:23:53:878',3,0.053783,0.003036,0.000636,0.00424,0.000999,0.001547,0.000372,0.001577,0.001235,0.002461,0.001136,0.000339,2
1147,'2026/04/25 17:23:53:911',3,0.053747,0.002955,0.000615,0.004311,0.000895,0.001687,0.000369,0.001611,0.001138,0.002601,0.001107,0.000361,2
1148,'2026/04/25 17:23:53:945',3,0.053743,0.002813,0.000596,0.004108,0.000899,0.001815,0.000365,0.001625,0.001112,0.002707,0.001071,0.000377,2
1149,'2026/04/25 17:23:53:977',3,0.053594,0.002885,0.000562,0.003879,0.000887,0.001713,0.000353,0.001578,0.001192,0.002551,0.001085,0.000364,2
1150,'2026/04/25 17:23:54:010',3,0.053688,0.003142,0.000584,0.00359,0.000885,0.001643,0.000334,0.001646,0.001114,0.002421,0.00109,0.00037,2
1151,'2026/04/25 17:23:54:046',3,0.053509,0.003137,0.000638,0.003978,0.000848,0.001603,0.000326,0.00159,0.001046,0.002368,0.001072,0.000405,2
1152,'2026/04/25 17:23:54:079',3,0.053423,0.003078,0.000626,0.004375,0.000832,0.001577,0.000337,0.001464,0.001055,0.00234,0.001031,0.000425,2
1153,'2026/04/25 17:23:54:112',3,0.05344,0.003076,0.000589,0.004148,0.00085,0.001622,0.000368,0.001552,0.001077,0.002155,0.000996,0.000405,2
1154,'2026/04/25 17:23:54:145',3,0.054025,0.003187,0.000569,0.003939,0.000921,0.001588,0.000381,0.001434,0.00109,0.002077,0.000985,0.000388,2
1155,'2026/04/25 17:23:54:178',3,0.054851,0.002978,0.000534,0.004028,0.000936,0.001524,0.000368,0.001423,0.001106,0.002231,0.001034,0.000377,2
1156,'2026/04/25 17:23:54:211',3,0.054389,0.002793,0.00052,0.003644,0.001074,0.001548,0.000363,0.001397,0.00106,0.002113,0.001044,0.000348,2
1157,'2026/04/25 17:23:54:244',3,0.054482,0.002894,0.000457,0.004005,0.001325,0.001641,0.000413,0.001473,0.001122,0.00203,0.001058,0.000325,2
1158,'2026/04/25 17:23:54:279',3,0.053978,0.002586,0.000436,0.004314,0.001275,0.001496,0.000374,0.00136,0.001122,0.001944,0.00098,0.00029,2
1159,'2026/04/25 17:23:54:312',3,0.054359,0.002674,0.000481,0.00422,0.001219,0.001501,0.000355,0.001319,0.001094,0.001944,0.000921,0.000285,2
1160,'2026/04/25 17:23:54:344',3,0.054699,0.002567,0.000478,0.004153,0.001389,0.001492,0.000361,0.00124,0.001033,0.001992,0.00094,0.000303,2
1161,'2026/04/25 17:23:54:380',3,0.055193,0.002758,0.000486,0.003888,0.001193,0.001528,0.000333,0.001162,0.000975,0.001971,0.001043,0.000287,2
1162,'2026/04/25 17:23:54:412',3,0.054364,0.002729,0.000507,0.004017,0.001058,0.001547,0.000321,0.001086,0.00097,0.001843,0.001014,0.000293,2
1163,'2026/04/25 17:23:54:445',3,0.053097,0.002678,0.000508,0.004228,0.00096,0.001633,0.000313,0.001034,0.00097,0.001846,0.000942,0.000298,2
1164,'2026/04/25 17:23:54:478',3,0.051574,0.002564,0.000493,0.004107,0.000881,0.001623,0.000296,0.001032,0.00097,0.00189,0.00088,0.000293,2
1165,'2026/04/25 17:23:54:512',3,0.05104,0.002501,0.000478,0.00385,0.000784,0.001639,0.000289,0.001071,0.000917,0.001866,0.000831,0.000307,2
1166,'2026/04/25 17:23:54:545',3,0.050673,0.002632,0.000553,0.003607,0.000712,0.001681,0.000278,0.001235,0.000856,0.001718,0.000832,0.000304,2
1167,'2026/04/25 17:23:54:578',3,0.05163,0.002867,0.000583,0.003578,0.000671,0.001761,0.00027,0.001307,0.000825,0.001651,0.000869,0.000284,2
1168,'2026/04/25 17:23:54:612',3,0.052662,0.002825,0.00056,0.003584,0.000649,0.001876,0.000309,0.001261,0.0008,0.001713,0.000889,0.000273,2
1169,'2026/04/25 17:23:54:646',3,0.053731,0.0027,0.000535,0.003425,0.000588,0.001935,0.00034,0.001192,0.000771,0.001802,0.000941,0.000279,2
1170,'2026/04/25 17:23:54:678',3,0.054166,0.002954,0.00053,0.00325,0.000536,0.001834,0.000353,0.001119,0.000859,0.001752,0.000929,0.000287,2
1171,'2026/04/25 17:23:54:713',3,0.053323,0.002973,0.000492,0.002995,0.000488,0.001732,0.000351,0.00112,0.000899,0.001708,0.000947,0.000295,2
1172,'2026/04/25 17:23:54:746',3,0.053496,0.002762,0.000451,0.003156,0.000479,0.00204,0.000352,0.001301,0.000992,0.001884,0.000928,0.000296,2
1173,'2026/04/25 17:23:54:779',3,0.053075,0.002607,0.000448,0.003235,0.000528,0.001873,0.000337,0.001163,0.000957,0.002008,0.000961,0.000287,2
1174,'2026/04/25 17:23:54:813',3,0.053704,0.002493,0.000421,0.003167,0.000517,0.001912,0.000328,0.001125,0.000887,0.001769,0.000928,0.000295,2
1175,'2026/04/25 17:23:54:845',3,0.053318,0.002866,0.000494,0.003633,0.000505,0.00202,0.000334,0.001081,0.000929,0.001681,0.000934,0.000343,2
1176,'2026/04/25 17:23:54:878',3,0.053982,0.003033,0.000465,0.00351,0.000517,0.001943,0.000319,0.000967,0.00098,0.001628,0.000875,0.000345,2
1177,'2026/04/25 17:23:54:911',3,0.054291,0.003069,0.000432,0.003245,0.00051,0.00181,0.000316,0.001001,0.000944,0.001657,0.000941,0.000388,2
1178,'2026/04/25 17:23:54:945',3,0.053249,0.002949,0.000393,0.003112,0.00048,0.001741,0.000328,0.000962,0.000864,0.001658,0.000915,0.000377,2
1179,'2026/04/25 17:23:54:978',3,0.052197,0.0028,0.000365,0.003062,0.000452,0.001686,0.00032,0.000929,0.000809,0.001578,0.000862,0.000358,2
