@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute outputs-1 {0,1,2}

@data
900,'2026/04/25 17:23:36:962',2,0.062765,0.035683,0.007019,0.006895,0.005636,0.001731,0.002869,0.003715,0.002326,0.003865,0.002927,0.001909,1
901,'2026/04/25 17:23:36:993',2,0.070929,0.034341,0.00682,0.007311,0.006323,0.001883,0.002836,0.004522,0.002462,0.004228,0.002917,0.00221,1
902,'2026/04/25 17:23:37:028',2,0.079019,0.035804,0.006691,0.007407,0.00679,0.001919,0.00271,0.005012,0.002335,0.004189,0.002595,0.002151,1
903,'2026/04/25 17:23:37:061',2,0.088503,0.038805,0.00701,0.00702,0.006906,0.001989,0.002835,0.005215,0.00238,0.00422,0.00241,0.002169,1
904,'2026/04/25 17:23:37:094',2,0.100455,0.047315,0.007421,0.006837,0.00757,0.002112,0.003111,0.005783,0.00247,0.004488,0.002418,0.003153,1
905,'2026/04/25 17:23:37:127',2,0.111676,0.057524,0.007641,0.008227,0.008144,0.002008,0.003078,0.005927,0.002492,0.004703,0.00252,0.00362,1
906,'2026/04/25 17:23:37:163',2,0.120768,0.0639,0.008573,0.008812,0.010172,0.002261,0.003242,0.00603,0.002524,0.004455,0.002533,0.003722,1
907,'2026/04/25 17:23:37:198',2,0.12664,0.065768,0.009171,0.008784,0.012379,0.002336,0.003469,0.005964,0.002555,0.004566,0.002794,0.003974,1
908,'2026/04/25 17:23:37:243',2,0.124441,0.059822,0.008248,0.008054,0.012212,0.00201,0.003233,0.005522,0.002389,0.005173,0.003374,0.003823,1
909,'2026/04/25 17:23:37:276',2,0.119455,0.054517,0.007739,0.007523,0.012007,0.001837,0.003029,0.005426,0.002265,0.005577,0.003995,0.003919,1
910,'2026/04/25 17:23:37:309',2,0.115705,0.051399,0.008168,0.0073,0.01144,0.00172,0.003281,0.005328,0.001981,0.005084,0.003936,0.003851,1
911,'2026/04/25 17:23:37:340',2,0.114959,0.049959,0.008011,0.006672,0.010904,0.001621,0.003349,0.005146,0.00206,0.00488,0.003932,0.003915,1
912,'2026/04/25 17:23:37:373',2,0.114017,0.050252,0.0078,0.006696,0.010523,0.001494,0.003401,0.005338,0.001928,0.004599,0.003968,0.003947,1
913,'2026/04/25 17:23:37:404',2,0.102847,0.041127,0.008089,0.006012,0.009327,0.001331,0.003077,0.004721,0.001874,0.004128,0.003883,0.003459,1
914,'2026/04/25 17:23:37:436',2,0.090283,0.033627,0.008158,0.004937,0.008875,0.001249,0.002873,0.004688,0.001724,0.003958,0.003547,0.003004,1
915,'2026/04/25 17:23:37:483',2,0.077936,0.027226,0.007544,0.004128,0.008475,0.001128,0.002576,0.004322,0.001475,0.003555,0.003217,0.002304,1
916,'2026/04/25 17:23:37:521',2,0.076298,0.026681,0.007782,0.00404,0.008312,0.001055,0.002587,0.004131,0.001397,0.003559,0.003213,0.002137,1
917,'2026/04/25 17:23:37:555',2,0.073892,0.025586,0.007629,0.003882,0.008099,0.000937,0.002615,0.003827,0.001231,0.003432,0.00302,0.002043,1
918,'2026/04/25 17:23:37:588',2,0.070892,0.023946,0.007492,0.003489,0.007978,0.000897,0.002767,0.003349,0.001086,0.003289,0.002918,0.001813,1
919,'2026/04/25 17:23:37:625',2,0.066505,0.021907,0.007621,0.003408,0.007549,0.000948,0.002759,0.003136,0.001046,0.003271,0.002623,0.001525,1
920,'2026/04/25 17:23:37:670',2,0.073188,0.02514,0.006976,0.00331,0.007962,0.001048,0.00302,0.003169,0.000929,0.003109,0.00248,0.001458,1
921,'2026/04/25 17:23:37:711',2,0.083963,0.033705,0.006181,0.003276,0.008311,0.001267,0.003049,0.003499,0.000807,0.002943,0.00226,0.00145,1
922,'2026/04/25 17:23:37:745',2,0.083577,0.031372,0.005472,0.003264,0.008535,0.00136,0.00288,0.003594,0.000831,0.002968,0.002391,0.001518,1
923,'2026/04/25 17:23:37:780',2,0.076808,0.026019,0.004987,0.003198,0.008782,0.00135,0.00262,0.003601,0.000956,0.003157,0.002716,0.00159,1
924,'2026/04/25 17:23:37:811',2,0.071123,0.021239,0.004261,0.002955,0.007985,0.001262,0.002601,0.003715,0.001021,0.00334,0.002598,0.001669,1
925,'2026/04/25 17:23:37:845',2,0.071004,0.017897,0.003787,0.002646,0.008216,0.00145,0.00246,0.003982,0.001279,0.003682,0.002509,0.001465,1
926,'2026/04/25 17:23:37:880',2,0.069661,0.015505,0.003682,0.002705,0.007565,0.001396,0.002271,0.003996,0.001339,0.003817,0.002378,0.001413,1
927,'2026/04/25 17:23:37:914',2,0.067444,0.013337,0.003636,0.002653,0.007503,0.001445,0.002155,0.0041,0.001444,0.003903,0.002367,0.001368,1
928,'2026/04/25 17:23:37:946',2,0.065802,0.01178,0.003583,0.002585,0.007789,0.001571,0.002066,0.004197,0.001546,0.003835,0.002448,0.001432,1
929,'2026/04/25 17:23:37:980',2,0.066311,0.011462,0.003463,0.002663,0.008672,0.00179,0.00204,0.004258,0.001553,0.004076,0.002493,0.0015,1
930,'2026/04/25 17:23:38:013',2,0.068758,0.011954,0.003526,0.002697,0.009039,0.001952,0.002013,0.004164,0.001516,0.004548,0.002433,0.001454,1
931,'2026/04/25 17:23:38:046',2,0.06838,0.010725,0.003178,0.002481,0.008328,0.001754,0.001924,0.003769,0.001558,0.004258,0.002551,0.001384,1
932,'2026/04/25 17:23:38:076',2,0.066836,0.010474,0.003203,0.002354,0.008333,0.001781,0.001855,0.003649,0.001492,0.004364,0.002426,0.001315,1
933,'2026/04/25 17:23:38:116',2,0.064645,0.010303,0.003083,0.002089,0.007771,0.001765,0.001628,0.003347,0.001411,0.004442,0.002296,0.001271,1
934,'2026/04/25 17:23:38:149',2,0.062265,0.009533,0.002971,0.002054,0.007698,0.001595,0.001601,0.003337,0.0013,0.004116,0.002198,0.001297,1
935,'2026/04/25 17:23:38:183',2,0.061118,0.008748,0.002844,0.001952,0.007241,0.001473,0.001578,0.003202,0.001212,0.003699,0.002142,0.001249,1
936,'2026/04/25 17:23:38:216',2,0.06198,0.008137,0.002797,0.001816,0.006736,0.001442,0.001524,0.003014,0.001143,0.003412,0.002047,0.001187,1
937,'2026/04/25 17:23:38:249',2,0.062309,0.008053,0.002837,0.00185,0.00694,0.001418,0.001486,0.002965,0.001117,0.003537,0.002021,0.001128,1
938,'2026/04/25 17:23:38:293',2,0.065556,0.008805,0.00316,0.00212,0.00806,0.001457,0.001519,0.003235,0.001209,0.003642,0.002323,0.00123,1
939,'2026/04/25 17:23:38:327',2,0.066998,0.008583,0.00312,0.002207,0.007926,0.001455,0.00147,0.00328,0.001253,0.003778,0.002488,0.001221,1
940,'2026/04/25 17:23:38:359',2,0.068384,0.008846,0.003525,0.002243,0.008591,0.001511,0.001559,0.003478,0.001278,0.003728,0.00243,0.001233,1
941,'2026/04/25 17:23:38:397',2,0.0708,0.009249,0.003957,0.002338,0.009052,0.001583,0.001636,0.003393,0.001264,0.003566,0.002294,0.001267,1
942,'2026/04/25 17:23:38:432',2,0.071473,0.009718,0.003835,0.00227,0.008561,0.001672,0.0017,0.003266,0.00122,0.003624,0.002453,0.001369,1
